"Theme 1 - 1 : Persons aged 18 and under by sex and single year of age and persons aged 19 and over by sex, 2006";;;;
"Geographic Area";"Year of Age";"Persons";"Males";"Females"
"Dublin City 02/614";7;4;2;2
"Dublin City 02/614";8;5;2;3
"Dublin City 02/614";9;4;2;2
"Dublin City 02/614";10;3;3;0
"Dublin City 02/614";11;6;4;2
"Dublin City 02/614";12;4;3;1
"Dublin City 02/614";13;5;2;3
"Dublin City 02/614";14;1;0;1
"Dublin City 02/614";15;5;4;1
"Dublin City 02/614";16;3;0;3
"Dublin City 02/614";17;9;5;4
"Dublin City 02/614";18;2;2;0
"Dublin City 02/614";"19+";318;157;161
"Dublin City 02/614";"Total";400;200;200
"Dublin City 02/615";0;4;2;2
"Dublin City 02/615";1;4;1;3
"Dublin City 02/615";2;10;9;1
"Dublin City 02/615";3;2;2;0
"Dublin City 02/615";4;2;2;0
"Dublin City 02/615";5;1;1;0
"Dublin City 02/615";6;2;0;2
"Dublin City 02/615";7;3;2;1
"Dublin City 02/615";8;5;1;4
"Dublin City 02/615";9;4;2;2
"Dublin City 02/615";10;2;1;1
"Dublin City 02/615";11;3;2;1
"Dublin City 02/615";12;5;2;3
"Dublin City 02/615";13;2;0;2
"Dublin City 02/615";14;2;2;0
"Dublin City 02/615";15;2;1;1
"Dublin City 02/615";16;0;0;0
"Dublin City 02/615";17;2;1;1
"Dublin City 02/615";18;8;2;6
"Dublin City 02/615";"19+";578;262;316
"Dublin City 02/615";"Total";641;295;346
"Dublin City 02/616";0;8;6;2
"Dublin City 02/616";1;6;3;3
"Dublin City 02/616";2;8;7;1
"Dublin City 02/616";3;4;1;3
"Dublin City 02/616";4;4;1;3
"Dublin City 02/616";5;3;2;1
"Dublin City 02/616";6;4;3;1
"Dublin City 02/616";7;3;2;1
"Dublin City 02/616";8;2;1;1
"Dublin City 02/616";9;2;2;0
"Dublin City 02/616";10;3;1;2
"Dublin City 02/616";11;4;3;1
"Dublin City 02/616";12;3;2;1
"Dublin City 02/616";13;0;0;0
"Dublin City 02/616";14;6;2;4
"Dublin City 02/616";15;2;1;1
"Dublin City 02/616";16;5;3;2
"Dublin City 02/616";17;6;1;5
"Dublin City 02/616";18;2;0;2
"Dublin City 02/616";"19+";367;175;192
"Dublin City 02/616";"Total";442;216;226
"Dublin City 02/617";0;6;4;2
"Dublin City 02/617";1;1;0;1
"Dublin City 02/617";2;5;4;1
"Dublin City 02/617";3;8;5;3
"Dublin City 02/617";4;10;5;5
"Dublin City 02/617";5;5;3;2
"Dublin City 02/617";6;1;1;0
"Dublin City 02/617";7;3;0;3
"Dublin City 02/617";8;3;2;1
"Dublin City 02/617";9;4;3;1
"Dublin City 02/617";10;5;3;2
"Dublin City 02/617";11;4;0;4
"Dublin City 02/617";12;5;2;3
"Dublin City 02/617";13;4;3;1
"Dublin City 02/617";14;4;2;2
"Dublin City 02/617";15;5;3;2
"Dublin City 02/617";16;6;2;4
"Dublin City 02/617";17;1;1;0
"Dublin City 02/617";18;5;3;2
"Dublin City 02/617";"19+";306;151;155
"Dublin City 02/617";"Total";391;197;194
"Dublin City 02/618";0;84;39;45
"Dublin City 02/618";1;3;1;2
"Dublin City 02/618";2;4;4;0
"Dublin City 02/618";3;4;2;2
"Dublin City 02/618";4;2;1;1
"Dublin City 02/618";5;3;1;2
"Dublin City 02/618";6;1;1;0
"Dublin City 02/618";7;2;1;1
"Dublin City 02/618";8;4;2;2
"Dublin City 02/618";9;5;3;2
"Dublin City 02/618";10;3;0;3
"Dublin City 02/618";11;3;0;3
"Dublin City 02/618";12;1;0;1
"Dublin City 02/618";13;2;1;1
"Dublin City 02/618";14;3;1;2
"Dublin City 02/618";15;1;0;1
"Dublin City 02/618";16;1;1;0
"Dublin City 02/618";17;2;1;1
"Dublin City 02/618";18;3;0;3
"Dublin City 02/618";"19+";463;201;262
"Dublin City 02/618";"Total";594;260;334
"Dublin City 02/619";0;3;2;1
"Dublin City 02/619";1;0;0;0
"Dublin City 02/619";2;1;0;1
"Dublin City 02/619";3;3;1;2
"Dublin City 02/619";4;3;1;2
"Dublin City 02/619";5;1;0;1
"Dublin City 02/619";6;3;1;2
"Dublin City 02/619";7;0;0;0
"Dublin City 02/619";8;0;0;0
"Dublin City 02/619";9;1;1;0
"Dublin City 02/619";10;0;0;0
"Dublin City 02/619";11;2;1;1
"Dublin City 02/619";12;0;0;0
"Dublin City 02/619";13;1;0;1
"Dublin City 02/619";14;1;1;0
"Dublin City 02/619";15;0;0;0
"Dublin City 02/619";16;0;0;0
"Dublin City 02/619";17;0;0;0
"Dublin City 02/619";18;4;2;2
"Dublin City 02/619";"19+";459;275;184
"Dublin City 02/619";"Total";482;285;197
"Dublin City 02/621";0;5;3;2
"Dublin City 02/621";1;11;3;8
"Dublin City 02/621";2;12;9;3
"Dublin City 02/621";3;6;4;2
"Dublin City 02/621";4;8;1;7
"Dublin City 02/621";5;8;5;3
"Dublin City 02/621";6;6;3;3
"Dublin City 02/621";7;13;7;6
"Dublin City 02/621";8;5;3;2
"Dublin City 02/621";9;7;3;4
"Dublin City 02/621";10;7;3;4
"Dublin City 02/621";11;9;4;5
"Dublin City 02/621";12;11;5;6
"Dublin City 02/621";13;12;7;5
"Dublin City 02/621";14;10;3;7
"Dublin City 02/621";15;9;6;3
"Dublin City 02/621";16;7;2;5
"Dublin City 02/621";17;13;9;4
"Dublin City 02/621";18;7;5;2
"Dublin City 02/621";"19+";528;241;287
"Dublin City 02/621";"Total";694;326;368
"Dublin City 02/622";0;12;7;5
"Dublin City 02/622";1;11;6;5
"Dublin City 02/622";2;7;3;4
"Dublin City 02/622";3;19;9;10
"Dublin City 02/622";4;10;6;4
"Dublin City 02/622";5;15;7;8
"Dublin City 02/622";6;5;1;4
"Dublin City 02/622";7;0;0;0
"Dublin City 02/622";8;2;0;2
"Dublin City 02/622";9;1;0;1
"Dublin City 02/622";10;3;0;3
"Dublin City 02/622";11;2;2;0
"Dublin City 02/622";12;0;0;0
"Dublin City 02/622";13;1;1;0
"Dublin City 02/622";14;3;1;2
"Dublin City 02/622";15;3;2;1
"Dublin City 02/622";16;3;1;2
"Dublin City 02/622";17;3;1;2
"Dublin City 02/622";18;5;1;4
"Dublin City 02/622";"19+";746;414;332
"Dublin City 02/622";"Total";851;462;389
"Dublin City 02/623";0;8;4;4
"Dublin City 02/623";1;14;8;6
"Dublin City 02/623";2;9;2;7
"Dublin City 02/623";3;10;4;6
"Dublin City 02/623";4;7;4;3
"Dublin City 02/623";5;6;4;2
"Dublin City 02/623";6;10;5;5
"Dublin City 02/623";7;11;7;4
"Dublin City 02/623";8;11;4;7
"Dublin City 02/623";9;5;1;4
"Dublin City 02/623";10;5;3;2
"Dublin City 02/623";11;7;2;5
"Dublin City 02/623";12;8;5;3
"Dublin City 02/623";13;3;2;1
"Dublin City 02/623";14;10;7;3
"Dublin City 02/623";15;7;1;6
"Dublin City 02/623";16;7;5;2
"Dublin City 02/623";17;9;3;6
"Dublin City 02/623";18;6;5;1
"Dublin City 02/623";"19+";396;201;195
"Dublin City 02/623";"Total";549;277;272
"Dublin City 02/624";0;8;6;2
"Dublin City 02/624";1;5;2;3
"Dublin City 02/624";2;5;3;2
"Dublin City 02/624";3;9;2;7
"Dublin City 02/624";4;3;3;0
"Dublin City 02/624";5;2;0;2
"Dublin City 02/624";6;3;0;3
"Dublin City 02/624";7;3;0;3
"Dublin City 02/624";8;3;1;2
"Dublin City 02/624";9;2;0;2
"Dublin City 02/624";10;3;0;3
"Dublin City 02/624";11;4;3;1
"Dublin City 02/624";12;6;4;2
"Dublin City 02/624";13;9;7;2
"Dublin City 02/624";14;5;4;1
"Dublin City 02/624";15;5;1;4
"Dublin City 02/624";16;7;3;4
"Dublin City 02/624";17;16;4;12
"Dublin City 02/624";18;9;4;5
"Dublin City 02/624";"19+";559;257;302
"Dublin City 02/624";"Total";666;304;362
"Dublin City 02/625";0;20;11;9
"Dublin City 02/625";1;10;3;7
"Dublin City 02/625";2;20;12;8
"Dublin City 02/625";3;14;6;8
"Dublin City 02/625";4;9;6;3
"Dublin City 02/625";5;9;4;5
"Dublin City 02/625";6;8;2;6
"Dublin City 02/625";7;7;2;5
"Dublin City 02/625";8;6;2;4
"Dublin City 02/625";9;3;2;1
"Dublin City 02/625";10;3;1;2
"Dublin City 02/625";11;4;3;1
"Dublin City 02/625";12;3;1;2
"Dublin City 02/625";13;2;1;1
"Dublin City 02/625";14;2;0;2
"Dublin City 02/625";15;2;1;1
"Dublin City 02/625";16;2;1;1
"Dublin City 02/625";17;0;0;0
"Dublin City 02/625";18;4;2;2
"Dublin City 02/625";"19+";504;234;270
"Dublin City 02/625";"Total";632;294;338
"Dublin City 02/626";0;14;6;8
"Dublin City 02/626";1;8;6;2
"Dublin City 02/626";2;4;1;3
"Dublin City 02/626";3;10;5;5
"Dublin City 02/626";4;13;5;8
"Dublin City 02/626";5;15;8;7
"Dublin City 02/626";6;9;5;4
"Dublin City 02/626";7;10;4;6
"Dublin City 02/626";8;9;5;4
"Dublin City 02/626";9;10;6;4
"Dublin City 02/626";10;13;7;6
"Dublin City 02/626";11;7;3;4
"Dublin City 02/626";12;11;3;8
"Dublin City 02/626";13;7;3;4
"Dublin City 02/626";14;12;7;5
"Dublin City 02/626";15;9;4;5
"Dublin City 02/626";16;9;2;7
"Dublin City 02/626";17;7;4;3
"Dublin City 02/626";18;8;5;3
"Dublin City 02/626";"19+";474;239;235
"Dublin City 02/626";"Total";659;328;331
"Dublin City 02/627";0;11;7;4
"Dublin City 02/627";1;11;4;7
"Dublin City 02/627";2;24;12;12
"Dublin City 02/627";3;13;9;4
"Dublin City 02/627";4;15;8;7
"Dublin City 02/627";5;16;10;6
"Dublin City 02/627";6;10;6;4
"Dublin City 02/627";7;8;5;3
"Dublin City 02/627";8;5;4;1
"Dublin City 02/627";9;10;5;5
"Dublin City 02/627";10;8;5;3
"Dublin City 02/627";11;2;1;1
"Dublin City 02/627";12;7;4;3
"Dublin City 02/627";13;5;1;4
"Dublin City 02/627";14;8;5;3
"Dublin City 02/627";15;4;3;1
"Dublin City 02/627";16;3;1;2
"Dublin City 02/627";17;3;1;2
"Dublin City 02/627";18;11;4;7
"Dublin City 02/627";"19+";1086;534;552
"Dublin City 02/627";"Total";1260;629;631
"Dublin City 02/628";0;9;3;6
"Dublin City 02/628";1;8;7;1
"Dublin City 02/628";2;8;5;3
"Dublin City 02/628";3;6;4;2
"Dublin City 02/628";4;10;4;6
"Dublin City 02/628";5;12;4;8
"Dublin City 02/628";6;7;4;3
"Dublin City 02/628";7;7;5;2
"Dublin City 02/628";8;10;4;6
"Dublin City 02/628";9;11;7;4
"Dublin City 02/628";10;13;6;7
"Dublin City 02/628";11;16;8;8
"Dublin City 02/628";12;16;4;12
"Dublin City 02/628";13;14;6;8
"Dublin City 02/628";14;17;9;8
"Dublin City 02/628";15;8;5;3
"Dublin City 02/628";16;16;8;8
"Dublin City 02/628";17;16;6;10
"Dublin City 02/628";18;38;15;23
"Dublin City 02/628";"19+";844;350;494
"Dublin City 02/628";"Total";1086;464;622
"Dublin City 02/629";0;18;9;9
"Dublin City 02/629";1;26;9;17
"Dublin City 02/629";2;16;8;8
"Dublin City 02/629";3;13;7;6
"Dublin City 02/629";4;13;7;6
"Dublin City 02/629";5;16;9;7
"Dublin City 02/629";6;10;4;6
"Dublin City 02/629";7;5;2;3
"Dublin City 02/629";8;1;0;1
"Dublin City 02/629";9;10;4;6
"Dublin City 02/629";10;2;1;1
"Dublin City 02/629";11;4;3;1
"Dublin City 02/629";12;2;2;0
"Dublin City 02/629";13;0;0;0
"Dublin City 02/629";14;2;1;1
"Dublin City 02/629";15;5;2;3
"Dublin City 02/629";16;3;2;1
"Dublin City 02/629";17;3;3;0
"Dublin City 02/629";18;2;0;2
"Dublin City 02/629";"19+";682;352;330
"Dublin City 02/629";"Total";833;425;408
"Dublin City 02/630";0;7;3;4
"Dublin City 02/630";1;11;5;6
"Dublin City 02/630";2;6;3;3
"Dublin City 02/630";3;8;4;4
"Dublin City 02/630";4;7;1;6
"Dublin City 02/630";5;10;6;4
"Dublin City 02/630";6;11;4;7
"Dublin City 02/630";7;15;8;7
"Dublin City 02/630";8;14;8;6
"Dublin City 02/630";9;19;11;8
"Dublin City 02/630";10;8;6;2
"Dublin City 02/630";11;16;7;9
"Dublin City 02/630";12;11;5;6
"Dublin City 02/630";13;18;11;7
"Dublin City 02/630";14;15;2;13
"Dublin City 02/630";15;7;2;5
"Dublin City 02/630";16;15;10;5
"Dublin City 02/630";17;12;3;9
"Dublin City 02/630";18;9;4;5
"Dublin City 02/630";"19+";609;279;330
"Dublin City 02/630";"Total";828;382;446
"Dublin City 02/631";0;9;4;5
"Dublin City 02/631";1;11;8;3
"Dublin City 02/631";2;7;3;4
"Dublin City 02/631";3;11;3;8
"Dublin City 02/631";4;4;3;1
"Dublin City 02/631";5;2;1;1
"Dublin City 02/631";6;2;2;0
"Dublin City 02/631";7;1;1;0
"Dublin City 02/631";8;1;1;0
"Dublin City 02/631";9;3;1;2
"Dublin City 02/631";10;1;1;0
"Dublin City 02/631";11;1;1;0
"Dublin City 02/631";12;0;0;0
"Dublin City 02/631";13;0;0;0
"Dublin City 02/631";14;1;1;0
"Dublin City 02/631";15;0;0;0
"Dublin City 02/631";16;1;0;1
"Dublin City 02/631";17;2;1;1
"Dublin City 02/631";18;11;7;4
"Dublin City 02/631";"19+";800;443;357
"Dublin City 02/631";"Total";868;481;387
"Dublin City 02/632";0;3;3;0
"Dublin City 02/632";1;15;12;3
"Dublin City 02/632";2;3;2;1
"Dublin City 02/632";3;9;2;7
"Dublin City 02/632";4;10;7;3
"Dublin City 02/632";5;5;4;1
"Dublin City 02/632";6;10;6;4
"Dublin City 02/632";7;11;5;6
"Dublin City 02/632";8;9;6;3
"Dublin City 02/632";9;5;3;2
"Dublin City 02/632";10;10;3;7
"Dublin City 02/632";11;7;2;5
"Dublin City 02/632";12;3;2;1
"Dublin City 02/632";13;1;0;1
"Dublin City 02/632";14;8;3;5
"Dublin City 02/632";15;4;3;1
"Dublin City 02/632";16;2;1;1
"Dublin City 02/632";17;8;6;2
"Dublin City 02/632";18;7;6;1
"Dublin City 02/632";"19+";648;251;397
"Dublin City 02/632";"Total";778;327;451
"Dublin City 02/633";0;5;3;2
"Dublin City 02/633";1;7;6;1
"Dublin City 02/633";2;5;2;3
"Dublin City 02/633";3;1;1;0
"Dublin City 02/633";4;3;1;2
"Dublin City 02/633";5;0;0;0
"Dublin City 02/633";6;2;1;1
"Dublin City 02/633";7;0;0;0
"Dublin City 02/633";8;1;0;1
"Dublin City 02/633";9;0;0;0
"Dublin City 02/633";10;2;1;1
"Dublin City 02/633";11;3;1;2
"Dublin City 02/633";12;0;0;0
"Dublin City 02/633";13;1;0;1
"Dublin City 02/633";14;0;0;0
"Dublin City 02/633";15;0;0;0
"Dublin City 02/633";16;1;1;0
"Dublin City 02/633";17;1;0;1
"Dublin City 02/633";18;1;1;0
"Dublin City 02/633";"19+";399;196;203
"Dublin City 02/633";"Total";432;214;218
"Dublin City 02/634";0;7;5;2
"Dublin City 02/634";1;5;2;3
"Dublin City 02/634";2;5;2;3
"Dublin City 02/634";3;8;4;4
"Dublin City 02/634";4;2;1;1
"Dublin City 02/634";5;4;1;3
"Dublin City 02/634";6;2;1;1
"Dublin City 02/634";7;0;0;0
"Dublin City 02/634";8;2;2;0
"Dublin City 02/634";9;1;1;0
"Dublin City 02/634";10;1;0;1
"Dublin City 02/634";11;1;0;1
"Dublin City 02/634";12;0;0;0
"Dublin City 02/634";13;3;1;2
"Dublin City 02/634";14;0;0;0
"Dublin City 02/634";15;0;0;0
"Dublin City 02/634";16;2;1;1
"Dublin City 02/634";17;0;0;0
"Dublin City 02/634";18;4;2;2
"Dublin City 02/634";"19+";557;304;253
"Dublin City 02/634";"Total";604;327;277
"Dublin City 02/635";0;7;1;6
"Dublin City 02/635";1;4;2;2
"Dublin City 02/635";2;9;5;4
"Dublin City 02/635";3;3;2;1
"Dublin City 02/635";4;4;2;2
"Dublin City 02/635";5;15;8;7
"Dublin City 02/635";6;6;2;4
"Dublin City 02/635";7;4;0;4
"Dublin City 02/635";8;6;4;2
"Dublin City 02/635";9;6;2;4
"Dublin City 02/635";10;6;5;1
"Dublin City 02/635";11;6;2;4
"Dublin City 02/635";12;4;4;0
"Dublin City 02/635";13;4;1;3
"Dublin City 02/635";14;3;1;2
"Dublin City 02/635";15;1;1;0
"Dublin City 02/635";16;4;2;2
"Dublin City 02/635";17;3;1;2
"Dublin City 02/635";18;0;0;0
"Dublin City 02/635";"19+";549;281;268
"Dublin City 02/635";"Total";644;326;318
"South Dublin 03 ";0;3531;1845;1686
"South Dublin 03 ";1;3576;1902;1674
"South Dublin 03 ";2;3489;1817;1672
"South Dublin 03 ";3;3556;1816;1740
"South Dublin 03 ";4;3395;1708;1687
"South Dublin 03 ";5;3361;1683;1678
"South Dublin 03 ";6;3193;1649;1544
"South Dublin 03 ";7;3283;1692;1591
"South Dublin 03 ";8;2990;1543;1447
"South Dublin 03 ";9;3155;1596;1559
"South Dublin 03 ";10;2900;1534;1366
"South Dublin 03 ";11;2885;1506;1379
"South Dublin 03 ";12;2959;1529;1430
"South Dublin 03 ";13;2909;1548;1361
"South Dublin 03 ";14;3193;1604;1589
"South Dublin 03 ";15;3262;1657;1605
"South Dublin 03 ";16;3194;1614;1580
"South Dublin 03 ";17;3282;1689;1593
"South Dublin 03 ";18;3445;1763;1682
"South Dublin 03 ";"19+";162154;78962;83192
"South Dublin 03 ";"Total";223712;110657;113055
"South Dublin 03/001";0;15;7;8
"South Dublin 03/001";1;17;11;6
"South Dublin 03/001";2;15;6;9
"South Dublin 03/001";3;10;6;4
"South Dublin 03/001";4;13;6;7
"South Dublin 03/001";5;17;7;10
"South Dublin 03/001";6;11;3;8
"South Dublin 03/001";7;15;8;7
"South Dublin 03/001";8;14;6;8
"South Dublin 03/001";9;11;5;6
"South Dublin 03/001";10;14;8;6
"South Dublin 03/001";11;14;6;8
"South Dublin 03/001";12;16;6;10
"South Dublin 03/001";13;19;9;10
"South Dublin 03/001";14;12;5;7
"South Dublin 03/001";15;12;6;6
"South Dublin 03/001";16;7;5;2
"South Dublin 03/001";17;7;5;2
"South Dublin 03/001";18;8;2;6
"South Dublin 03/001";"19+";697;308;389
"South Dublin 03/001";"Total";944;425;519
"South Dublin 03/002";0;8;6;2
"South Dublin 03/002";1;6;3;3
"South Dublin 03/002";2;9;4;5
"South Dublin 03/002";3;8;4;4
"South Dublin 03/002";4;15;5;10
"South Dublin 03/002";5;13;7;6
"South Dublin 03/002";6;10;6;4
"South Dublin 03/002";7;14;11;3
"South Dublin 03/002";8;7;4;3
"South Dublin 03/002";9;16;8;8
"South Dublin 03/002";10;19;9;10
"South Dublin 03/002";11;10;3;7
"South Dublin 03/002";12;14;7;7
"South Dublin 03/002";13;12;6;6
"South Dublin 03/002";14;15;10;5
"South Dublin 03/002";15;10;6;4
"South Dublin 03/002";16;16;7;9
"South Dublin 03/002";17;9;4;5
"South Dublin 03/002";18;15;11;4
"South Dublin 03/002";"19+";763;359;404
"South Dublin 03/002";"Total";989;480;509
"South Dublin 03/003";0;1;0;1
"South Dublin 03/003";1;3;2;1
"South Dublin 03/003";2;4;4;0
"South Dublin 03/003";3;6;4;2
"South Dublin 03/003";4;7;4;3
"South Dublin 03/003";5;6;3;3
"South Dublin 03/003";6;3;2;1
"South Dublin 03/003";7;7;3;4
"South Dublin 03/003";8;3;2;1
"South Dublin 03/003";9;4;2;2
"South Dublin 03/003";10;5;2;3
"South Dublin 03/003";11;5;4;1
"South Dublin 03/003";12;6;4;2
"South Dublin 03/003";13;6;2;4
"South Dublin 03/003";14;5;0;5
"South Dublin 03/003";15;6;3;3
"South Dublin 03/003";16;6;1;5
"South Dublin 03/003";17;2;0;2
"South Dublin 03/003";18;8;5;3
"South Dublin 03/003";"19+";637;302;335
"South Dublin 03/003";"Total";730;349;381
"South Dublin 03/004";0;8;3;5
"South Dublin 03/004";1;12;5;7
"South Dublin 03/004";2;8;4;4
"South Dublin 03/004";3;16;7;9
"South Dublin 03/004";4;11;3;8
"South Dublin 03/004";5;11;7;4
"South Dublin 03/004";6;8;6;2
"South Dublin 03/004";7;10;6;4
"South Dublin 03/004";8;10;3;7
"South Dublin 03/004";9;10;7;3
"South Dublin 03/004";10;11;3;8
"South Dublin 03/004";11;9;8;1
"South Dublin 03/004";12;12;6;6
"South Dublin 03/004";13;10;9;1
"South Dublin 03/004";14;14;5;9
"South Dublin 03/004";15;13;10;3
"South Dublin 03/004";16;15;8;7
"South Dublin 03/004";17;16;9;7
"South Dublin 03/004";18;12;7;5
"South Dublin 03/004";"19+";752;350;402
"South Dublin 03/004";"Total";968;466;502
"South Dublin 03/005";0;7;1;6
"South Dublin 03/005";1;5;3;2
"South Dublin 03/005";2;8;6;2
"South Dublin 03/005";3;13;5;8
"South Dublin 03/005";4;15;8;7
"South Dublin 03/005";5;12;8;4
"South Dublin 03/005";6;6;2;4
"South Dublin 03/005";7;13;6;7
"South Dublin 03/005";8;9;2;7
"South Dublin 03/005";9;9;3;6
"South Dublin 03/005";10;6;2;4
"South Dublin 03/005";11;3;2;1
"South Dublin 03/005";12;10;5;5
"South Dublin 03/005";13;13;7;6
"South Dublin 03/005";14;10;6;4
"South Dublin 03/005";15;7;3;4
"South Dublin 03/005";16;13;9;4
"South Dublin 03/005";17;7;4;3
"South Dublin 03/005";18;6;2;4
"South Dublin 03/005";"19+";733;359;374
"South Dublin 03/005";"Total";905;443;462
"South Dublin 03/006";0;18;8;10
"South Dublin 03/006";1;18;9;9
"South Dublin 03/006";2;17;9;8
"South Dublin 03/006";3;15;9;6
"South Dublin 03/006";4;15;7;8
"South Dublin 03/006";5;17;9;8
"South Dublin 03/006";6;9;7;2
"South Dublin 03/006";7;8;5;3
"South Dublin 03/006";8;9;4;5
"South Dublin 03/006";9;9;5;4
"South Dublin 03/006";10;6;5;1
"South Dublin 03/006";11;4;2;2
"South Dublin 03/006";12;7;4;3
"South Dublin 03/006";13;6;5;1
"South Dublin 03/006";14;10;9;1
"South Dublin 03/006";15;12;5;7
"South Dublin 03/006";16;6;2;4
"South Dublin 03/006";17;10;4;6
"South Dublin 03/006";18;10;4;6
"South Dublin 03/006";"19+";816;383;433
"South Dublin 03/006";"Total";1022;495;527
"South Dublin 03/007";0;15;6;9
"South Dublin 03/007";1;4;2;2
"South Dublin 03/007";2;11;7;4
"South Dublin 03/007";3;12;7;5
"South Dublin 03/007";4;6;5;1
"South Dublin 03/007";5;11;7;4
"South Dublin 03/007";6;15;11;4
"South Dublin 03/007";7;11;2;9
"South Dublin 03/007";8;9;3;6
"South Dublin 03/007";9;10;7;3
"South Dublin 03/007";10;6;3;3
"South Dublin 03/007";11;12;9;3
"South Dublin 03/007";12;11;5;6
"South Dublin 03/007";13;13;6;7
"South Dublin 03/007";14;15;7;8
"South Dublin 03/007";15;14;6;8
"South Dublin 03/007";16;9;4;5
"South Dublin 03/007";17;13;10;3
"South Dublin 03/007";18;13;3;10
"South Dublin 03/007";"19+";728;341;387
"South Dublin 03/007";"Total";938;451;487
"South Dublin 03/008";0;6;3;3
"South Dublin 03/008";1;11;3;8
"South Dublin 03/008";2;11;4;7
"South Dublin 03/008";3;10;8;2
"South Dublin 03/008";4;9;7;2
"South Dublin 03/008";5;5;1;4
"South Dublin 03/008";6;15;6;9
"South Dublin 03/008";7;11;2;9
"South Dublin 03/008";8;10;4;6
"South Dublin 03/008";9;8;2;6
"South Dublin 03/008";10;7;2;5
"South Dublin 03/008";11;8;3;5
"South Dublin 03/008";12;7;4;3
"South Dublin 03/008";13;10;5;5
"South Dublin 03/008";14;5;3;2
"South Dublin 03/008";15;12;8;4
"South Dublin 03/008";16;12;4;8
"South Dublin 03/008";17;9;4;5
"South Dublin 03/008";18;12;8;4
"South Dublin 03/008";"19+";644;301;343
"South Dublin 03/008";"Total";822;382;440
"South Dublin 03/009";0;6;3;3
"South Dublin 03/009";1;9;7;2
"South Dublin 03/009";2;6;3;3
"South Dublin 03/009";3;5;4;1
"South Dublin 03/009";4;8;5;3
"South Dublin 03/009";5;9;6;3
"South Dublin 03/009";6;2;1;1
"South Dublin 03/009";7;6;2;4
"South Dublin 03/009";8;4;1;3
"South Dublin 03/009";9;6;3;3
"South Dublin 03/009";10;5;1;4
"South Dublin 03/009";11;7;5;2
"South Dublin 03/009";12;10;4;6
"South Dublin 03/009";13;7;5;2
"South Dublin 03/009";14;8;2;6
"South Dublin 03/009";15;10;8;2
"South Dublin 03/009";16;7;3;4
"South Dublin 03/009";17;11;8;3
"South Dublin 03/009";18;6;5;1
"South Dublin 03/009";"19+";602;277;325
"South Dublin 03/009";"Total";734;353;381
"South Dublin 03/010";0;7;4;3
"South Dublin 03/010";1;4;2;2
"South Dublin 03/010";2;13;9;4
"South Dublin 03/010";3;11;3;8
"South Dublin 03/010";4;9;3;6
"South Dublin 03/010";5;14;9;5
"South Dublin 03/010";6;11;3;8
"South Dublin 03/010";7;10;4;6
"South Dublin 03/010";8;13;8;5
"South Dublin 03/010";9;14;7;7
"South Dublin 03/010";10;7;3;4
"South Dublin 03/010";11;10;5;5
"South Dublin 03/010";12;14;8;6
"South Dublin 03/010";13;12;5;7
"South Dublin 03/010";14;14;6;8
"South Dublin 03/010";15;14;5;9
"South Dublin 03/010";16;14;8;6
"South Dublin 03/010";17;19;12;7
"South Dublin 03/010";18;12;8;4
"South Dublin 03/010";"19+";743;360;383
"South Dublin 03/010";"Total";965;472;493
"South Dublin 03/011";0;9;5;4
"South Dublin 03/011";1;8;4;4
"South Dublin 03/011";2;10;6;4
"South Dublin 03/011";3;12;7;5
"South Dublin 03/011";4;9;5;4
"South Dublin 03/011";5;11;7;4
"South Dublin 03/011";6;11;6;5
"South Dublin 03/011";7;17;10;7
"South Dublin 03/011";8;7;3;4
"South Dublin 03/011";9;17;7;10
"South Dublin 03/011";10;15;12;3
"South Dublin 03/011";11;17;5;12
"South Dublin 03/011";12;22;12;10
"South Dublin 03/011";13;20;11;9
"South Dublin 03/011";14;25;13;12
"South Dublin 03/011";15;25;13;12
"South Dublin 03/011";16;19;6;13
"South Dublin 03/011";17;17;7;10
"South Dublin 03/011";18;29;13;16
"South Dublin 03/011";"19+";826;409;417
"South Dublin 03/011";"Total";1126;561;565
"South Dublin 03/012";0;9;6;3
"South Dublin 03/012";1;10;5;5
"South Dublin 03/012";2;13;6;7
"South Dublin 03/012";3;11;5;6
"South Dublin 03/012";4;10;10;0
"South Dublin 03/012";5;17;9;8
"South Dublin 03/012";6;14;9;5
"South Dublin 03/012";7;13;7;6
"South Dublin 03/012";8;14;7;7
"South Dublin 03/012";9;17;7;10
"South Dublin 03/012";10;20;10;10
"South Dublin 03/012";11;17;6;11
"South Dublin 03/012";12;23;11;12
"South Dublin 03/012";13;14;6;8
"South Dublin 03/012";14;17;9;8
"South Dublin 03/012";15;18;10;8
"South Dublin 03/012";16;10;4;6
"South Dublin 03/012";17;16;8;8
"South Dublin 03/012";18;9;7;2
"South Dublin 03/012";"19+";757;364;393
"South Dublin 03/012";"Total";1029;506;523
"South Dublin 03/013";0;16;11;5
"South Dublin 03/013";1;6;4;2
"South Dublin 03/013";2;13;5;8
"South Dublin 03/013";3;8;4;4
"South Dublin 03/013";4;11;9;2
"South Dublin 03/013";5;9;3;6
"South Dublin 03/013";6;11;5;6
"South Dublin 03/013";7;9;4;5
"South Dublin 03/013";8;12;8;4
"South Dublin 03/013";9;12;6;6
"South Dublin 03/013";10;16;9;7
"South Dublin 03/013";11;14;8;6
"South Dublin 03/013";12;11;5;6
"South Dublin 03/013";13;15;7;8
