"Theme 1 - 2 : Persons by sex, age and marital status, 2006";;;;;;;;;;;;;
"Geographic Area";"Age Group";"Males - Total";"Males - Single";"Males - Married";"Males - Separated";"Males - Divorced";"Males - Widowed";"Females - Total";"Females - Single";"Females - Married";"Females - Separated";"Females - Divorced";"Females - Widowed"
"South Dublin 03/111";"30 - 34 years";45;30;14;1;0;0;37;26;10;1;0;0
"South Dublin 03/111";"35 - 39 years";35;16;18;0;1;0;37;9;23;2;2;1
"South Dublin 03/111";"40 - 44 years";38;6;30;2;0;0;50;6;36;6;2;0
"South Dublin 03/111";"45 - 49 years";46;4;38;2;2;0;49;7;26;8;6;2
"South Dublin 03/111";"50 - 54 years";41;8;30;2;1;0;45;3;30;10;2;0
"South Dublin 03/111";"55 - 59 years";30;1;26;0;1;2;41;6;28;3;2;2
"South Dublin 03/111";"60 - 64 years";27;3;23;1;0;0;26;0;18;3;2;3
"South Dublin 03/111";"65 - 69 years";9;0;7;1;0;1;12;2;8;0;0;2
"South Dublin 03/111";"70 - 74 years";8;0;8;0;0;0;7;1;5;0;0;1
"South Dublin 03/111";"75 - 79 years";5;0;4;0;0;1;9;3;3;0;0;3
"South Dublin 03/111";"80 - 84 years";3;0;2;0;0;1;8;1;1;0;0;6
"South Dublin 03/111";"85 years and over";3;0;1;0;0;2;5;0;1;0;0;4
"South Dublin 03/112";"0 - 4 years";27;27;0;0;0;0;35;35;0;0;0;0
"South Dublin 03/112";"5 - 9 years";40;40;0;0;0;0;50;50;0;0;0;0
"South Dublin 03/112";"10 - 14 years";53;53;0;0;0;0;53;53;0;0;0;0
"South Dublin 03/112";"15 - 19 years";61;61;0;0;0;0;76;76;0;0;0;0
"South Dublin 03/112";"20 - 24 years";77;76;1;0;0;0;75;73;2;0;0;0
"South Dublin 03/112";"25 - 29 years";59;52;7;0;0;0;35;25;8;1;1;0
"South Dublin 03/112";"30 - 34 years";40;22;16;1;1;0;36;15;19;1;1;0
"South Dublin 03/112";"35 - 39 years";40;13;24;0;3;0;46;14;31;0;1;0
"South Dublin 03/112";"40 - 44 years";61;9;48;2;2;0;67;12;48;7;0;0
"South Dublin 03/112";"45 - 49 years";57;3;53;1;0;0;78;6;65;4;2;1
"South Dublin 03/112";"50 - 54 years";62;5;52;3;0;2;50;5;42;1;1;1
"South Dublin 03/112";"55 - 59 years";37;3;34;0;0;0;29;1;23;2;0;3
"South Dublin 03/112";"60 - 64 years";24;1;19;1;2;1;27;3;19;1;0;4
"South Dublin 03/112";"65 - 69 years";11;2;9;0;0;0;12;1;7;1;0;3
"South Dublin 03/112";"70 - 74 years";6;0;5;0;0;1;5;0;4;0;0;1
"South Dublin 03/112";"75 - 79 years";2;0;2;0;0;0;5;1;4;0;0;0
"South Dublin 03/112";"80 - 84 years";3;0;2;0;0;1;2;0;0;0;0;2
"South Dublin 03/112";"85 years and over";0;0;0;0;0;0;0;0;0;0;0;0
"South Dublin 03/113";"0 - 4 years";44;44;0;0;0;0;30;30;0;0;0;0
"South Dublin 03/113";"5 - 9 years";50;50;0;0;0;0;39;39;0;0;0;0
"South Dublin 03/113";"10 - 14 years";45;45;0;0;0;0;49;49;0;0;0;0
"South Dublin 03/113";"15 - 19 years";49;49;0;0;0;0;49;49;0;0;0;0
"South Dublin 03/113";"20 - 24 years";52;49;3;0;0;0;49;47;2;0;0;0
"South Dublin 03/113";"25 - 29 years";41;35;6;0;0;0;35;29;5;0;1;0
"South Dublin 03/113";"30 - 34 years";43;28;12;3;0;0;47;21;25;0;0;1
"South Dublin 03/113";"35 - 39 years";51;13;33;1;2;2;51;11;38;2;0;0
"South Dublin 03/113";"40 - 44 years";55;7;45;0;3;0;53;4;38;8;2;1
"South Dublin 03/113";"45 - 49 years";51;6;39;3;1;2;47;3;39;4;1;0
"South Dublin 03/113";"50 - 54 years";51;4;42;2;2;1;50;5;37;7;1;0
"South Dublin 03/113";"55 - 59 years";22;1;17;3;0;1;23;5;16;0;1;1
"South Dublin 03/113";"60 - 64 years";13;0;12;0;0;1;8;1;5;0;0;2
"South Dublin 03/113";"65 - 69 years";2;0;1;1;0;0;6;2;3;0;0;1
"South Dublin 03/113";"70 - 74 years";5;1;4;0;0;0;4;1;3;0;0;0
"South Dublin 03/113";"75 - 79 years";3;0;2;0;0;1;1;0;0;0;0;1
"South Dublin 03/113";"80 - 84 years";1;0;1;0;0;0;1;0;0;0;0;1
"South Dublin 03/113";"85 years and over";0;0;0;0;0;0;0;0;0;0;0;0
"South Dublin 03/114";"0 - 4 years";31;31;0;0;0;0;28;28;0;0;0;0
"South Dublin 03/114";"5 - 9 years";42;42;0;0;0;0;30;30;0;0;0;0
"South Dublin 03/114";"10 - 14 years";43;43;0;0;0;0;38;38;0;0;0;0
"South Dublin 03/114";"15 - 19 years";45;45;0;0;0;0;57;57;0;0;0;0
"South Dublin 03/114";"20 - 24 years";57;56;1;0;0;0;41;41;0;0;0;0
"South Dublin 03/114";"25 - 29 years";36;32;3;1;0;0;31;27;4;0;0;0
"South Dublin 03/114";"30 - 34 years";25;12;11;2;0;0;30;15;14;0;1;0
"South Dublin 03/114";"35 - 39 years";41;9;29;1;2;0;53;16;34;3;0;0
"South Dublin 03/114";"40 - 44 years";53;8;43;0;2;0;67;11;45;8;2;1
"South Dublin 03/114";"45 - 49 years";45;3;34;5;1;2;48;9;28;8;2;1
"South Dublin 03/114";"50 - 54 years";35;5;24;2;2;2;51;11;30;6;1;3
"South Dublin 03/114";"55 - 59 years";26;4;19;2;0;1;25;9;10;3;2;1
"South Dublin 03/114";"60 - 64 years";14;2;12;0;0;0;23;12;7;0;1;3
"South Dublin 03/114";"65 - 69 years";4;1;1;1;0;1;10;3;3;1;1;2
"South Dublin 03/114";"70 - 74 years";8;0;5;1;0;2;13;3;6;1;0;3
"South Dublin 03/114";"75 - 79 years";9;1;6;1;0;1;15;2;4;0;0;9
"South Dublin 03/114";"80 - 84 years";0;0;0;0;0;0;3;0;0;0;0;3
"South Dublin 03/114";"85 years and over";0;0;0;0;0;0;5;1;0;0;0;4
"South Dublin 03/115";"0 - 4 years";23;23;0;0;0;0;24;24;0;0;0;0
"South Dublin 03/115";"5 - 9 years";28;28;0;0;0;0;19;19;0;0;0;0
"South Dublin 03/115";"10 - 14 years";26;26;0;0;0;0;25;25;0;0;0;0
"South Dublin 03/115";"15 - 19 years";21;21;0;0;0;0;29;29;0;0;0;0
"South Dublin 03/115";"20 - 24 years";39;38;1;0;0;0;29;27;2;0;0;0
"South Dublin 03/115";"25 - 29 years";39;34;4;0;1;0;28;21;7;0;0;0
"South Dublin 03/115";"30 - 34 years";35;21;13;1;0;0;28;20;7;0;0;1
"South Dublin 03/115";"35 - 39 years";38;23;13;1;1;0;34;12;19;3;0;0
"South Dublin 03/115";"40 - 44 years";39;16;22;0;1;0;39;8;26;4;1;0
"South Dublin 03/115";"45 - 49 years";18;1;16;1;0;0;21;4;11;2;3;1
"South Dublin 03/115";"50 - 54 years";14;2;12;0;0;0;18;2;13;3;0;0
"South Dublin 03/115";"55 - 59 years";22;4;16;2;0;0;22;3;17;0;0;2
"South Dublin 03/115";"60 - 64 years";20;1;18;0;0;1;39;3;32;1;0;3
"South Dublin 03/115";"65 - 69 years";63;0;58;0;0;5;79;0;64;2;0;13
"South Dublin 03/115";"70 - 74 years";49;1;42;1;0;5;48;0;28;1;0;19
"South Dublin 03/115";"75 - 79 years";24;0;21;0;0;3;26;1;13;0;0;12
"South Dublin 03/115";"80 - 84 years";6;0;5;0;0;1;8;0;2;0;0;6
"South Dublin 03/115";"85 years and over";2;1;0;0;0;1;0;0;0;0;0;0
"South Dublin 03/116";"0 - 4 years";13;13;0;0;0;0;19;19;0;0;0;0
"South Dublin 03/116";"5 - 9 years";15;15;0;0;0;0;17;17;0;0;0;0
"South Dublin 03/116";"10 - 14 years";19;19;0;0;0;0;26;26;0;0;0;0
"South Dublin 03/116";"15 - 19 years";23;23;0;0;0;0;27;27;0;0;0;0
"South Dublin 03/116";"20 - 24 years";29;29;0;0;0;0;25;25;0;0;0;0
"South Dublin 03/116";"25 - 29 years";22;20;2;0;0;0;21;18;3;0;0;0
"South Dublin 03/116";"30 - 34 years";16;5;10;0;1;0;22;9;13;0;0;0
"South Dublin 03/116";"35 - 39 years";33;18;14;0;1;0;22;11;11;0;0;0
"South Dublin 03/116";"40 - 44 years";33;10;20;3;0;0;43;14;25;4;0;0
"South Dublin 03/116";"45 - 49 years";26;2;19;3;2;0;24;4;18;1;1;0
"South Dublin 03/116";"50 - 54 years";20;4;14;0;1;1;22;6;14;1;1;0
"South Dublin 03/116";"55 - 59 years";19;2;16;0;1;0;16;3;12;0;1;0
"South Dublin 03/116";"60 - 64 years";12;1;10;0;0;1;24;3;18;0;1;2
"South Dublin 03/116";"65 - 69 years";49;2;43;0;1;3;77;1;57;2;0;17
"South Dublin 03/116";"70 - 74 years";41;0;36;0;0;5;37;2;26;1;0;8
"South Dublin 03/116";"75 - 79 years";23;1;20;0;0;2;24;1;12;0;0;11
"South Dublin 03/116";"80 - 84 years";13;0;8;0;0;5;15;2;3;0;0;10
"South Dublin 03/116";"85 years and over";3;0;1;0;0;2;5;0;0;0;0;5
"South Dublin 03/117";"0 - 4 years";26;26;0;0;0;0;15;15;0;0;0;0
"South Dublin 03/117";"5 - 9 years";17;17;0;0;0;0;12;12;0;0;0;0
"South Dublin 03/117";"10 - 14 years";25;25;0;0;0;0;26;26;0;0;0;0
"South Dublin 03/117";"15 - 19 years";23;23;0;0;0;0;33;33;0;0;0;0
"South Dublin 03/117";"20 - 24 years";25;25;0;0;0;0;24;22;1;0;0;1
"South Dublin 03/117";"25 - 29 years";26;23;2;0;1;0;19;17;2;0;0;0
"South Dublin 03/117";"30 - 34 years";20;12;8;0;0;0;20;9;11;0;0;0
"South Dublin 03/117";"35 - 39 years";24;8;14;1;0;1;21;4;15;2;0;0
"South Dublin 03/117";"40 - 44 years";17;2;13;2;0;0;34;10;22;1;1;0
"South Dublin 03/117";"45 - 49 years";36;7;28;1;0;0;29;8;18;2;1;0
"South Dublin 03/117";"50 - 54 years";23;6;16;1;0;0;24;6;14;1;3;0
"South Dublin 03/117";"55 - 59 years";16;4;10;1;0;1;14;0;10;3;1;0
"South Dublin 03/117";"60 - 64 years";10;0;8;0;0;2;16;1;11;2;0;2
"South Dublin 03/117";"65 - 69 years";28;2;24;1;0;1;44;2;31;1;0;10
"South Dublin 03/117";"70 - 74 years";27;0;23;0;0;4;22;1;14;0;0;7
"South Dublin 03/117";"75 - 79 years";16;0;10;0;0;6;32;2;13;0;0;17
"South Dublin 03/117";"80 - 84 years";14;1;9;0;0;4;18;1;6;0;0;11
"South Dublin 03/117";"85 years and over";7;0;4;0;0;3;13;0;4;0;0;9
"South Dublin 03/118";"0 - 4 years";51;51;0;0;0;0;38;38;0;0;0;0
"South Dublin 03/118";"5 - 9 years";40;40;0;0;0;0;32;32;0;0;0;0
"South Dublin 03/118";"10 - 14 years";40;40;0;0;0;0;33;33;0;0;0;0
"South Dublin 03/118";"15 - 19 years";35;34;0;0;0;1;39;39;0;0;0;0
"South Dublin 03/118";"20 - 24 years";47;45;2;0;0;0;43;40;3;0;0;0
"South Dublin 03/118";"25 - 29 years";58;49;9;0;0;0;74;59;14;1;0;0
"South Dublin 03/118";"30 - 34 years";65;43;19;2;1;0;50;28;22;0;0;0
"South Dublin 03/118";"35 - 39 years";56;22;29;3;1;1;52;15;34;3;0;0
"South Dublin 03/118";"40 - 44 years";37;3;32;2;0;0;33;11;19;1;2;0
"South Dublin 03/118";"45 - 49 years";14;2;10;2;0;0;28;6;15;3;2;2
"South Dublin 03/118";"50 - 54 years";22;0;19;2;0;1;37;5;27;2;1;2
"South Dublin 03/118";"55 - 59 years";35;5;29;0;1;0;36;2;28;3;2;1
"South Dublin 03/118";"60 - 64 years";37;0;31;3;0;3;31;0;24;3;0;4
"South Dublin 03/118";"65 - 69 years";15;0;14;0;1;0;21;1;15;2;1;2
"South Dublin 03/118";"70 - 74 years";11;0;9;0;0;2;9;1;4;0;0;4
"South Dublin 03/118";"75 - 79 years";2;0;1;0;0;1;5;0;0;0;0;5
"South Dublin 03/118";"80 - 84 years";2;0;1;0;0;1;4;0;0;0;0;4
"South Dublin 03/118";"85 years and over";2;0;0;0;0;2;9;0;1;0;0;8
"South Dublin 03/119";"0 - 4 years";91;91;0;0;0;0;116;116;0;0;0;0
"South Dublin 03/119";"5 - 9 years";57;57;0;0;0;0;53;53;0;0;0;0
"South Dublin 03/119";"10 - 14 years";19;19;0;0;0;0;27;27;0;0;0;0
"South Dublin 03/119";"15 - 19 years";13;13;0;0;0;0;11;11;0;0;0;0
"South Dublin 03/119";"20 - 24 years";21;19;2;0;0;0;28;23;4;0;1;0
"South Dublin 03/119";"25 - 29 years";64;50;14;0;0;0;77;41;34;1;1;0
"South Dublin 03/119";"30 - 34 years";115;28;85;2;0;0;133;34;95;2;2;0
"South Dublin 03/119";"35 - 39 years";106;21;81;2;2;0;86;20;63;2;1;0
"South Dublin 03/119";"40 - 44 years";42;6;31;3;2;0;37;10;24;3;0;0
"South Dublin 03/119";"45 - 49 years";15;1;13;1;0;0;12;1;6;2;2;1
"South Dublin 03/119";"50 - 54 years";7;0;6;0;0;1;10;1;7;0;1;1
"South Dublin 03/119";"55 - 59 years";9;0;7;0;1;1;5;0;5;0;0;0
"South Dublin 03/119";"60 - 64 years";3;0;3;0;0;0;3;1;1;1;0;0
"South Dublin 03/119";"65 - 69 years";0;0;0;0;0;0;4;1;3;0;0;0
"South Dublin 03/119";"70 - 74 years";1;0;1;0;0;0;1;0;0;0;0;1
"South Dublin 03/119";"75 - 79 years";0;0;0;0;0;0;2;1;0;0;0;1
"South Dublin 03/119";"80 - 84 years";0;0;0;0;0;0;1;1;0;0;0;0
"South Dublin 03/119";"85 years and over";0;0;0;0;0;0;0;0;0;0;0;0
"South Dublin 03/120";"0 - 4 years";50;50;0;0;0;0;51;51;0;0;0;0
"South Dublin 03/120";"5 - 9 years";48;48;0;0;0;0;58;58;0;0;0;0
"South Dublin 03/120";"10 - 14 years";77;77;0;0;0;0;69;69;0;0;0;0
"South Dublin 03/120";"15 - 19 years";53;53;0;0;0;0;48;48;0;0;0;0
"South Dublin 03/120";"20 - 24 years";28;28;0;0;0;0;31;25;4;1;1;0
"South Dublin 03/120";"25 - 29 years";41;34;6;1;0;0;42;28;13;0;1;0
"South Dublin 03/120";"30 - 34 years";61;23;35;3;0;0;42;18;22;2;0;0
"South Dublin 03/120";"35 - 39 years";61;13;44;3;1;0;54;8;42;3;1;0
"South Dublin 03/120";"40 - 44 years";74;5;67;2;0;0;95;6;82;3;4;0
"South Dublin 03/120";"45 - 49 years";71;4;65;1;1;0;57;7;46;2;2;0
"South Dublin 03/120";"50 - 54 years";21;1;18;2;0;0;22;4;14;1;3;0
"South Dublin 03/120";"55 - 59 years";16;3;9;1;1;2;8;3;4;1;0;0
"South Dublin 03/120";"60 - 64 years";7;0;4;1;0;2;5;1;4;0;0;0
"South Dublin 03/120";"65 - 69 years";3;1;2;0;0;0;1;0;0;0;0;1
"South Dublin 03/120";"70 - 74 years";3;1;2;0;0;0;5;0;3;0;0;2
"South Dublin 03/120";"75 - 79 years";3;0;2;0;0;1;3;0;0;0;0;3
"South Dublin 03/120";"80 - 84 years";1;0;0;0;0;1;4;0;1;0;0;3
"South Dublin 03/120";"85 years and over";0;0;0;0;0;0;3;1;0;0;0;2
"South Dublin 03/121";"0 - 4 years";70;70;0;0;0;0;63;63;0;0;0;0
"South Dublin 03/121";"5 - 9 years";63;63;0;0;0;0;54;54;0;0;0;0
"South Dublin 03/121";"10 - 14 years";30;30;0;0;0;0;22;22;0;0;0;0
"South Dublin 03/121";"15 - 19 years";16;16;0;0;0;0;20;20;0;0;0;0
"South Dublin 03/121";"20 - 24 years";27;27;0;0;0;0;25;23;2;0;0;0
"South Dublin 03/121";"25 - 29 years";71;59;12;0;0;0;69;49;19;1;0;0
"South Dublin 03/121";"30 - 34 years";71;33;36;1;1;0;73;32;37;3;1;0
"South Dublin 03/121";"35 - 39 years";75;14;59;0;1;1;88;26;57;3;1;1
"South Dublin 03/121";"40 - 44 years";70;14;52;3;0;1;80;28;45;4;2;1
"South Dublin 03/121";"45 - 49 years";37;1;31;5;0;0;35;13;19;1;2;0
"South Dublin 03/121";"50 - 54 years";10;1;7;1;1;0;16;3;7;3;2;1
"South Dublin 03/121";"55 - 59 years";8;1;4;3;0;0;9;5;1;1;0;2
"South Dublin 03/121";"60 - 64 years";4;0;2;2;0;0;3;1;2;0;0;0
"South Dublin 03/121";"65 - 69 years";2;0;1;1;0;0;5;1;2;0;0;2
"South Dublin 03/121";"70 - 74 years";1;0;1;0;0;0;2;0;0;0;0;2
"South Dublin 03/121";"75 - 79 years";1;0;1;0;0;0;1;1;0;0;0;0
"South Dublin 03/121";"80 - 84 years";0;0;0;0;0;0;2;0;0;1;0;1
"South Dublin 03/121";"85 years and over";0;0;0;0;0;0;1;1;0;0;0;0
"South Dublin 03/122";"0 - 4 years";113;113;0;0;0;0;102;102;0;0;0;0
"South Dublin 03/122";"5 - 9 years";76;76;0;0;0;0;64;64;0;0;0;0
"South Dublin 03/122";"10 - 14 years";21;21;0;0;0;0;34;34;0;0;0;0
"South Dublin 03/122";"15 - 19 years";21;20;1;0;0;0;22;22;0;0;0;0
"South Dublin 03/122";"20 - 24 years";30;30;0;0;0;0;23;18;5;0;0;0
"South Dublin 03/122";"25 - 29 years";55;39;16;0;0;0;74;38;36;0;0;0
"South Dublin 03/122";"30 - 34 years";86;27;55;3;1;0;103;27;68;6;1;1
"South Dublin 03/122";"35 - 39 years";98;23;73;1;1;0;81;12;66;2;1;0
"South Dublin 03/122";"40 - 44 years";53;12;40;1;0;0;36;8;26;1;1;0
"South Dublin 03/122";"45 - 49 years";23;0;23;0;0;0;19;6;11;1;1;0
"South Dublin 03/122";"50 - 54 years";14;2;11;0;1;0;6;0;4;1;1;0
"South Dublin 03/122";"55 - 59 years";6;0;5;0;1;0;7;0;7;0;0;0
"South Dublin 03/122";"60 - 64 years";6;0;5;0;1;0;4;0;2;0;0;2
"South Dublin 03/122";"65 - 69 years";1;0;0;1;0;0;4;0;2;0;0;2
"South Dublin 03/122";"70 - 74 years";3;0;1;0;0;2;0;0;0;0;0;0
"South Dublin 03/122";"75 - 79 years";0;0;0;0;0;0;1;1;0;0;0;0
"South Dublin 03/122";"80 - 84 years";1;0;1;0;0;0;0;0;0;0;0;0
"South Dublin 03/122";"85 years and over";0;0;0;0;0;0;1;0;1;0;0;0
"South Dublin 03/123";"0 - 4 years";86;86;0;0;0;0;69;69;0;0;0;0
"South Dublin 03/123";"5 - 9 years";79;79;0;0;0;0;72;72;0;0;0;0
"South Dublin 03/123";"10 - 14 years";36;36;0;0;0;0;42;42;0;0;0;0
"South Dublin 03/123";"15 - 19 years";13;13;0;0;0;0;29;29;0;0;0;0
"South Dublin 03/123";"20 - 24 years";39;38;1;0;0;0;37;29;8;0;0;0
"South Dublin 03/123";"25 - 29 years";64;50;14;0;0;0;69;46;23;0;0;0
"South Dublin 03/123";"30 - 34 years";80;31;47;1;1;0;86;32;47;5;1;1
"South Dublin 03/123";"35 - 39 years";91;19;67;3;2;0;87;15;63;5;3;1
"South Dublin 03/123";"40 - 44 years";52;5;42;1;4;0;50;11;31;3;4;1
"South Dublin 03/123";"45 - 49 years";24;5;13;4;1;1;19;5;12;0;2;0
"South Dublin 03/123";"50 - 54 years";10;2;6;1;1;0;4;1;2;1;0;0
"South Dublin 03/123";"55 - 59 years";7;2;2;2;1;0;8;3;5;0;0;0
"South Dublin 03/123";"60 - 64 years";6;0;3;1;1;1;4;2;1;1;0;0
"South Dublin 03/123";"65 - 69 years";3;0;0;2;1;0;3;0;0;0;0;3
"South Dublin 03/123";"70 - 74 years";0;0;0;0;0;0;0;0;0;0;0;0
"South Dublin 03/123";"75 - 79 years";1;0;0;0;0;1;2;0;0;0;0;2
"South Dublin 03/123";"80 - 84 years";0;0;0;0;0;0;0;0;0;0;0;0
"South Dublin 03/123";"85 years and over";0;0;0;0;0;0;1;1;0;0;0;0
"South Dublin 03/124";"0 - 4 years";48;48;0;0;0;0;38;38;0;0;0;0
"South Dublin 03/124";"5 - 9 years";64;64;0;0;0;0;64;64;0;0;0;0
"South Dublin 03/124";"10 - 14 years";60;60;0;0;0;0;57;57;0;0;0;0
"South Dublin 03/124";"15 - 19 years";34;34;0;0;0;0;41;41;0;0;0;0
"South Dublin 03/124";"20 - 24 years";30;29;1;0;0;0;23;23;0;0;0;0
"South Dublin 03/124";"25 - 29 years";54;45;8;0;1;0;39;32;6;1;0;0
"South Dublin 03/124";"30 - 34 years";42;18;23;1;0;0;44;17;26;0;1;0
"South Dublin 03/124";"35 - 39 years";47;6;38;2;1;0;61;11;45;1;1;3
"South Dublin 03/124";"40 - 44 years";79;8;67;2;2;0;89;15;65;4;5;0
"South Dublin 03/124";"45 - 49 years";53;4;46;2;1;0;48;9;36;0;3;0
"South Dublin 03/124";"50 - 54 years";17;0;15;2;0;0;22;6;14;1;0;1
"South Dublin 03/124";"55 - 59 years";19;0;16;1;2;0;13;5;7;1;0;0
"South Dublin 03/124";"60 - 64 years";5;0;5;0;0;0;13;2;9;0;1;1
"South Dublin 03/124";"65 - 69 years";6;0;6;0;0;0;6;1;4;0;0;1
"South Dublin 03/124";"70 - 74 years";2;0;1;0;0;1;4;0;2;0;1;1
"South Dublin 03/124";"75 - 79 years";3;0;3;0;0;0;4;0;1;0;0;3
"South Dublin 03/124";"80 - 84 years";0;0;0;0;0;0;3;0;1;0;0;2
"South Dublin 03/124";"85 years and over";2;0;1;0;0;1;1;0;0;0;0;1
"South Dublin 03/125";"0 - 4 years";21;21;0;0;0;0;28;28;0;0;0;0
"South Dublin 03/125";"5 - 9 years";22;22;0;0;0;0;21;21;0;0;0;0
"South Dublin 03/125";"10 - 14 years";32;32;0;0;0;0;18;18;0;0;0;0
"South Dublin 03/125";"15 - 19 years";33;33;0;0;0;0;20;20;0;0;0;0
"South Dublin 03/125";"20 - 24 years";41;41;0;0;0;0;40;38;1;0;1;0
"South Dublin 03/125";"25 - 29 years";41;38;2;0;1;0;46;36;9;0;1;0
"South Dublin 03/125";"30 - 34 years";51;30;17;3;1;0;31;16;11;3;1;0
"South Dublin 03/125";"35 - 39 years";46;23;18;4;1;0;35;8;21;3;1;2
"South Dublin 03/125";"40 - 44 years";20;4;16;0;0;0;25;6;16;2;1;0
"South Dublin 03/125";"45 - 49 years";23;4;15;1;2;1;34;9;21;1;0;3
"South Dublin 03/125";"50 - 54 years";40;1;32;6;1;0;43;2;35;2;2;2
"South Dublin 03/125";"55 - 59 years";25;1;21;1;1;1;33;2;22;4;2;3
"South Dublin 03/125";"60 - 64 years";33;1;30;1;1;0;45;3;37;0;0;5
"South Dublin 03/125";"65 - 69 years";48;4;41;1;0;2;42;7;32;0;0;3
"South Dublin 03/125";"70 - 74 years";25;1;22;0;1;1;25;4;15;1;0;5
"South Dublin 03/125";"75 - 79 years";9;1;7;0;0;1;11;1;7;0;0;3
"South Dublin 03/125";"80 - 84 years";10;0;6;0;0;4;9;1;3;0;0;5
"South Dublin 03/125";"85 years and over";2;0;1;0;0;1;7;2;1;0;0;4
"South Dublin 03/126";"0 - 4 years";19;19;0;0;0;0;27;27;0;0;0;0
"South Dublin 03/126";"5 - 9 years";18;18;0;0;0;0;19;19;0;0;0;0
"South Dublin 03/126";"10 - 14 years";37;37;0;0;0;0;30;30;0;0;0;0
"South Dublin 03/126";"15 - 19 years";45;45;0;0;0;0;51;51;0;0;0;0
"South Dublin 03/126";"20 - 24 years";67;67;0;0;0;0;79;78;1;0;0;0
"South Dublin 03/126";"25 - 29 years";56;55;1;0;0;0;40;39;1;0;0;0
"South Dublin 03/126";"30 - 34 years";29;15;14;0;0;0;36;14;21;1;0;0
"South Dublin 03/126";"35 - 39 years";29;7;22;0;0;0;25;5;19;1;0;0
"South Dublin 03/126";"40 - 44 years";16;2;14;0;0;0;23;3;17;3;0;0
"South Dublin 03/126";"45 - 49 years";38;2;31;3;1;1;46;2;39;4;0;1
"South Dublin 03/126";"50 - 54 years";48;0;48;0;0;0;50;0;49;1;0;0
"South Dublin 03/126";"55 - 59 years";58;1;53;1;0;3;82;1;72;2;2;5
"South Dublin 03/126";"60 - 64 years";62;0;60;1;0;1;63;3;50;3;1;6
"South Dublin 03/126";"65 - 69 years";36;2;31;1;0;2;26;0;18;1;1;6
"South Dublin 03/126";"70 - 74 years";16;0;13;0;0;3;16;2;13;0;0;1
"South Dublin 03/126";"75 - 79 years";13;1;11;0;0;1;5;1;0;0;0;4
"South Dublin 03/126";"80 - 84 years";1;0;0;0;0;1;3;0;1;0;0;2
"South Dublin 03/126";"85 years and over";1;0;1;0;0;0;5;1;1;0;1;2
"South Dublin 03/127";"0 - 4 years";26;26;0;0;0;0;29;29;0;0;0;0
"South Dublin 03/127";"5 - 9 years";28;28;0;0;0;0;35;35;0;0;0;0
"South Dublin 03/127";"10 - 14 years";39;39;0;0;0;0;33;33;0;0;0;0
"South Dublin 03/127";"15 - 19 years";53;53;0;0;0;0;58;58;0;0;0;0
"South Dublin 03/127";"20 - 24 years";53;51;2;0;0;0;59;57;2;0;0;0
"South Dublin 03/127";"25 - 29 years";35;30;4;1;0;0;33;27;6;0;0;0
"South Dublin 03/127";"30 - 34 years";32;20;10;0;2;0;34;16;15;3;0;0
"South Dublin 03/127";"35 - 39 years";32;10;21;1;0;0;33;8;21;3;1;0
"South Dublin 03/127";"40 - 44 years";29;6;20;3;0;0;35;8;23;2;1;1
"South Dublin 03/127";"45 - 49 years";44;8;34;2;0;0;62;7;47;7;1;0
"South Dublin 03/127";"50 - 54 years";53;5;44;1;3;0;48;8;37;3;0;0
"South Dublin 03/127";"55 - 59 years";35;4;27;2;0;2;33;4;25;1;1;2
"South Dublin 03/127";"60 - 64 years";32;1;28;0;1;2;49;8;30;5;0;6
"South Dublin 03/127";"65 - 69 years";17;0;14;1;0;2;18;3;8;1;1;5
"South Dublin 03/127";"70 - 74 years";19;3;14;0;0;2;24;4;11;2;1;6
"South Dublin 03/127";"75 - 79 years";4;0;2;0;0;2;5;2;0;0;0;3
"South Dublin 03/127";"80 - 84 years";1;0;1;0;0;0;6;1;2;0;0;3
"South Dublin 03/127";"85 years and over";0;0;0;0;0;0;2;0;0;0;0;2
"South Dublin 03/128";"0 - 4 years";20;20;0;0;0;0;10;10;0;0;0;0
"South Dublin 03/128";"5 - 9 years";19;19;0;0;0;0;20;20;0;0;0;0
"South Dublin 03/128";"10 - 14 years";12;12;0;0;0;0;12;12;0;0;0;0
"South Dublin 03/128";"15 - 19 years";14;14;0;0;0;0;12;12;0;0;0;0
"South Dublin 03/128";"20 - 24 years";28;28;0;0;0;0;26;24;2;0;0;0
"South Dublin 03/128";"25 - 29 years";46;44;2;0;0;0;40;34;6;0;0;0
"South Dublin 03/128";"30 - 34 years";48;34;14;0;0;0;35;20;14;1;0;0
"South Dublin 03/128";"35 - 39 years";28;11;16;1;0;0;24;6;14;3;1;0
"South Dublin 03/128";"40 - 44 years";30;9;17;4;0;0;24;8;15;0;1;0
"South Dublin 03/128";"45 - 49 years";22;6;10;4;2;0;30;12;15;1;1;1
"South Dublin 03/128";"50 - 54 years";24;9;10;2;2;1;14;5;5;2;1;1
"South Dublin 03/128";"55 - 59 years";16;4;11;0;0;1;17;3;9;2;1;2
"South Dublin 03/128";"60 - 64 years";20;4;14;2;0;0;28;3;19;1;0;5
"South Dublin 03/128";"65 - 69 years";24;2;17;1;1;3;27;0;15;2;1;9
"South Dublin 03/128";"70 - 74 years";23;1;15;2;0;5;18;0;10;0;0;8
