"Theme 2 - 1 : Persons usually resident and present in the State on Census Night, classified by place of birth, 2006";;;;;;;
"Geographic Area";"Ireland";"UK";"Poland";"Lithuania";"Other EU25";"Rest of World";"Total"
"Dublin City and Suburbs  ";830462;47328;17524;6345;28240;73365;1003264
"Dublin City 02  ";401122;22231;10580;2600;17526;37496;491555
"Dublin City 02/001";1347;63;7;2;1;19;1439
"Dublin City 02/002";988;33;0;0;4;6;1031
"Dublin City 02/003";966;21;2;0;4;1;994
"Dublin City 02/004";763;18;6;5;6;17;815
"Dublin City 02/005";749;21;4;2;14;13;803
"Dublin City 02/006";946;25;8;0;3;25;1007
"Dublin City 02/007";934;28;14;5;13;15;1009
"Dublin City 02/008";1004;35;11;0;10;7;1067
"Dublin City 02/009";1053;34;4;1;10;11;1113
"Dublin City 02/010";875;42;10;0;11;17;955
"Dublin City 02/011";823;28;11;5;9;7;883
"Dublin City 02/012";856;41;22;0;15;7;941
"Dublin City 02/013";860;27;11;4;19;8;929
"Dublin City 02/014";924;39;19;1;7;22;1012
"Dublin City 02/015";1068;26;2;3;12;20;1131
"Dublin City 02/016";844;32;12;0;18;23;929
"Dublin City 02/017";1226;59;0;0;1;0;1286
"Dublin City 02/018";955;39;2;0;1;2;999
"Dublin City 02/019";959;37;0;0;3;14;1013
"Dublin City 02/020";500;38;72;17;50;43;720
"Dublin City 02/021";1022;55;63;15;23;32;1210
"Dublin City 02/022";1182;62;0;0;9;14;1267
"Dublin City 02/023";1103;43;0;0;2;13;1161
"Dublin City 02/024";847;82;121;26;45;71;1192
"Dublin City 02/025";281;17;0;0;0;3;301
"Dublin City 02/026";783;38;11;0;13;28;873
"Dublin City 02/027";795;18;0;0;9;24;846
"Dublin City 02/028";815;23;18;2;18;35;911
"Dublin City 02/029";847;26;9;2;10;14;908
"Dublin City 02/030";873;43;14;4;22;26;982
"Dublin City 02/031";747;18;6;4;16;15;806
"Dublin City 02/032";897;26;19;7;18;9;976
"Dublin City 02/033";981;25;8;0;14;14;1042
"Dublin City 02/034";1006;30;18;6;28;25;1113
"Dublin City 02/035";798;27;28;0;9;24;886
"Dublin City 02/036";863;29;8;3;23;13;939
"Dublin City 02/037";1130;42;7;6;15;30;1230
"Dublin City 02/038";868;21;0;4;3;6;902
"Dublin City 02/039";1057;36;0;0;4;13;1110
"Dublin City 02/040";947;24;0;6;3;4;984
"Dublin City 02/041";896;14;4;0;5;0;919
"Dublin City 02/042";1099;34;5;0;6;18;1162
"Dublin City 02/043";960;26;5;8;8;11;1018
"Dublin City 02/044";860;27;8;3;3;17;918
"Dublin City 02/045";742;22;4;4;4;7;783
"Dublin City 02/046";897;21;0;2;1;19;940
"Dublin City 02/047";843;13;3;0;2;20;881
"Dublin City 02/048";906;27;0;1;1;6;941
"Dublin City 02/049";922;23;0;0;3;8;956
"Dublin City 02/050";1202;27;3;0;3;24;1259
"Dublin City 02/051";1230;32;0;0;4;15;1281
"Dublin City 02/052";1557;54;45;23;15;61;1755
"Dublin City 02/053";1505;60;0;0;6;31;1602
"Dublin City 02/054";883;52;0;0;2;8;945
"Dublin City 02/055";800;15;0;0;5;13;833
"Dublin City 02/056";876;17;6;0;5;4;908
"Dublin City 02/057";789;45;29;4;15;76;958
"Dublin City 02/058";784;33;11;0;8;2;838
"Dublin City 02/059";895;25;7;9;6;23;965
"Dublin City 02/060";897;33;21;1;5;41;998
"Dublin City 02/061";767;29;7;0;4;38;845
"Dublin City 02/062";784;31;6;7;8;24;860
"Dublin City 02/063";952;38;34;10;13;186;1233
"Dublin City 02/064";802;22;6;8;15;69;922
"Dublin City 02/065";797;22;30;0;12;53;914
"Dublin City 02/066";487;21;36;5;10;35;594
"Dublin City 02/067";719;28;20;1;9;23;800
"Dublin City 02/068";462;37;93;0;25;41;658
"Dublin City 02/069";313;20;19;7;9;12;380
"Dublin City 02/070";785;23;0;0;0;6;814
"Dublin City 02/071";433;27;5;4;4;26;499
"Dublin City 02/072";861;10;0;0;5;17;893
"Dublin City 02/073";936;17;5;0;3;9;970
"Dublin City 02/074";929;22;7;0;0;15;973
"Dublin City 02/075";487;68;29;8;34;84;710
"Dublin City 02/076";481;49;25;9;37;50;651
"Dublin City 02/077";639;39;47;7;48;68;848
"Dublin City 02/078";635;19;6;1;14;31;706
"Dublin City 02/079";785;37;36;17;11;24;910
"Dublin City 02/080";484;32;21;6;28;47;618
"Dublin City 02/081";912;31;10;3;13;38;1007
"Dublin City 02/082";819;18;23;0;18;35;913
"Dublin City 02/083";819;22;7;0;5;34;887
"Dublin City 02/084";895;27;1;6;7;26;962
"Dublin City 02/085";887;20;3;0;10;19;939
"Dublin City 02/086";722;21;7;0;11;42;803
"Dublin City 02/087";945;30;21;2;7;39;1044
"Dublin City 02/088";651;21;19;2;7;27;727
"Dublin City 02/089";656;30;10;5;4;20;725
"Dublin City 02/090";701;18;5;6;5;38;773
"Dublin City 02/091";818;32;0;2;10;27;889
"Dublin City 02/092";810;33;10;1;9;23;886
"Dublin City 02/093";908;34;32;0;32;93;1099
"Dublin City 02/094";818;30;16;8;18;27;917
"Dublin City 02/095";966;44;6;6;11;46;1079
"Dublin City 02/096";788;23;18;3;8;9;849
"Dublin City 02/097";613;30;4;0;15;23;685
"Dublin City 02/098";615;20;15;9;8;12;679
"Dublin City 02/099";964;30;9;1;15;19;1038
"Dublin City 02/100";899;24;15;0;13;20;971
"Dublin City 02/101";876;13;9;0;10;27;935
"Dublin City 02/102";860;33;0;0;4;17;914
"Dublin City 02/103";786;27;16;2;4;13;848
"Dublin City 02/104";895;31;18;6;9;18;977
"Dublin City 02/105";849;27;7;0;8;33;924
"Dublin City 02/106";837;29;18;0;6;9;899
"Dublin City 02/107";706;42;14;0;21;26;809
"Dublin City 02/108, 02/560";1585;75;6;3;29;51;1749
"Dublin City 02/109";700;36;2;1;14;25;778
"Dublin City 02/110";732;27;6;0;15;31;811
"Dublin City 02/111";542;27;13;1;26;34;643
"Dublin City 02/112";663;39;15;2;25;46;790
"Dublin City 02/113";428;25;7;5;26;64;555
"Dublin City 02/114";383;30;8;0;20;30;471
"Dublin City 02/115";454;33;12;0;21;55;575
"Dublin City 02/116";550;32;3;0;11;28;624
"Dublin City 02/117";416;31;4;6;26;42;525
"Dublin City 02/118";532;29;1;1;11;37;611
"Dublin City 02/119";612;30;1;2;8;27;680
"Dublin City 02/120";683;20;9;2;15;31;760
"Dublin City 02/121";597;43;7;0;13;35;695
"Dublin City 02/122";807;42;2;0;7;22;880
"Dublin City 02/123";764;56;13;1;13;37;884
"Dublin City 02/124";725;52;1;0;6;16;800
"Dublin City 02/125";631;60;6;1;13;48;759
"Dublin City 02/126";1109;181;15;1;67;179;1552
"Dublin City 02/127";832;55;6;0;10;59;962
"Dublin City 02/128";420;39;6;1;25;39;530
"Dublin City 02/129";581;47;11;11;39;73;762
"Dublin City 02/130";455;32;7;0;20;44;558
"Dublin City 02/131";359;50;12;1;39;52;513
"Dublin City 02/132";363;38;7;0;22;55;485
"Dublin City 02/133";488;33;12;1;21;72;627
"Dublin City 02/134";436;36;8;1;27;46;554
"Dublin City 02/135";322;31;19;8;27;60;467
"Dublin City 02/136";269;37;15;5;14;61;401
"Dublin City 02/137";323;34;9;1;28;52;447
"Dublin City 02/138";305;33;13;4;24;52;431
"Dublin City 02/139";398;52;23;4;30;73;580
"Dublin City 02/140";244;32;12;0;25;88;401
"Dublin City 02/141";411;38;8;0;20;64;541
"Dublin City 02/142";705;24;7;3;17;33;789
"Dublin City 02/143";623;68;7;4;42;146;890
"Dublin City 02/144";390;59;8;0;41;158;656
"Dublin City 02/145";1015;67;1;0;28;130;1241
"Dublin City 02/146";525;61;1;7;30;97;721
"Dublin City 02/147";536;61;7;10;31;76;721
"Dublin City 02/148";397;38;5;6;29;50;525
"Dublin City 02/149";422;55;6;1;45;90;619
"Dublin City 02/150";702;77;7;0;61;94;941
"Dublin City 02/151";430;35;3;11;56;84;619
"Dublin City 02/152";261;44;6;0;27;81;419
"Dublin City 02/153";180;24;6;5;24;58;297
"Dublin City 02/154";437;36;1;1;12;42;529
"Dublin City 02/155";615;59;1;1;19;84;779
"Dublin City 02/156";446;50;3;4;15;70;588
"Dublin City 02/157";527;33;10;1;21;50;642
"Dublin City 02/158";445;25;7;2;27;113;619
"Dublin City 02/159";620;48;14;7;25;60;774
"Dublin City 02/160";577;55;10;1;41;74;758
"Dublin City 02/161";419;43;13;4;28;61;568
"Dublin City 02/162";367;21;9;0;22;89;508
"Dublin City 02/163";499;43;12;0;19;61;634
"Dublin City 02/164";289;39;5;2;13;57;405
"Dublin City 02/165";248;28;15;4;23;86;404
"Dublin City 02/166";417;40;5;0;22;50;534
"Dublin City 02/167";387;39;17;1;36;69;549
"Dublin City 02/168";354;33;7;8;40;58;500
"Dublin City 02/169";379;36;19;3;38;131;606
"Dublin City 02/170";388;33;13;6;27;92;559
"Dublin City 02/171";395;47;8;0;27;94;571
"Dublin City 02/172";341;25;13;4;25;91;499
"Dublin City 02/173";366;39;1;0;21;47;474
"Dublin City 02/174";492;41;3;0;18;36;590
"Dublin City 02/175";314;21;7;0;13;38;393
"Dublin City 02/176";317;27;4;5;19;40;412
"Dublin City 02/177";331;31;12;2;18;55;449
"Dublin City 02/178";468;52;5;0;28;54;607
"Dublin City 02/179";630;43;5;0;15;41;734
"Dublin City 02/180";599;59;4;0;26;57;745
"Dublin City 02/181";555;54;8;0;26;53;696
"Dublin City 02/182";483;46;19;1;28;43;620
"Dublin City 02/183";245;37;16;7;41;90;436
"Dublin City 02/184";201;19;3;0;20;64;307
"Dublin City 02/185";347;27;34;5;35;49;497
"Dublin City 02/186";400;40;15;0;23;68;546
"Dublin City 02/187";447;49;15;1;18;47;577
"Dublin City 02/188";264;19;10;1;24;45;363
"Dublin City 02/189";344;20;12;4;11;52;443
"Dublin City 02/190";469;48;21;1;39;110;688
"Dublin City 02/191";351;30;15;5;37;94;532
"Dublin City 02/192";395;36;12;3;39;64;549
"Dublin City 02/193";301;37;15;2;39;85;479
"Dublin City 02/194";399;45;13;2;49;64;572
"Dublin City 02/195";309;37;56;8;60;115;585
"Dublin City 02/196";245;22;28;5;28;93;421
