"Theme 2 - 5 : Number of persons by religion, 2006";;;;;
"Religion";"Catholic";"Other stated religion";"No religion";"Not stated";"Total"
"Dœn Laoghaire-Rathdown 05/149";603;24;45;4;676
"Dœn Laoghaire-Rathdown 05/150";807;136;59;10;1012
"Dœn Laoghaire-Rathdown 05/151";738;76;51;7;872
"Dœn Laoghaire-Rathdown 05/152";972;92;38;10;1112
"Dœn Laoghaire-Rathdown 05/153";704;128;64;21;917
"Dœn Laoghaire-Rathdown 05/154";820;133;53;3;1009
"Dœn Laoghaire-Rathdown 05/155";675;151;88;66;980
"Dœn Laoghaire-Rathdown 05/156";715;94;78;4;891
"Dœn Laoghaire-Rathdown 05/157";695;68;69;11;843
"Dœn Laoghaire-Rathdown 05/158";516;49;71;4;640
"Dœn Laoghaire-Rathdown 05/159";596;155;97;13;861
"Dœn Laoghaire-Rathdown 05/160";789;66;71;16;942
"Dœn Laoghaire-Rathdown 05/161";677;87;64;7;835
"Dœn Laoghaire-Rathdown 05/162";754;87;67;11;919
"Dœn Laoghaire-Rathdown 05/163";872;127;94;12;1105
"Dœn Laoghaire-Rathdown 05/164";636;126;71;15;848
"Dœn Laoghaire-Rathdown 05/165";577;95;56;8;736
"Dœn Laoghaire-Rathdown 05/166";744;161;93;8;1006
"Dœn Laoghaire-Rathdown 05/167";716;130;58;5;909
"Dœn Laoghaire-Rathdown 05/168";769;183;65;4;1021
"Dœn Laoghaire-Rathdown 05/169";761;84;36;3;884
"Dœn Laoghaire-Rathdown 05/170";645;53;39;17;754
"Dœn Laoghaire-Rathdown 05/173";896;104;51;3;1054
"Dœn Laoghaire-Rathdown 05/174";891;121;82;6;1100
"Dœn Laoghaire-Rathdown 05/175";588;171;89;5;853
"Dœn Laoghaire-Rathdown 05/176";787;116;44;1;948
"Dœn Laoghaire-Rathdown 05/177, 05/178";1616;231;190;16;2053
"Dœn Laoghaire-Rathdown 05/179";759;104;70;9;942
"Dœn Laoghaire-Rathdown 05/180";593;121;89;63;866
"Dœn Laoghaire-Rathdown 05/181";251;30;20;1;302
"Dœn Laoghaire-Rathdown 05/182";526;95;59;8;688
"Dœn Laoghaire-Rathdown 05/184";813;169;90;3;1075
"Dœn Laoghaire-Rathdown 05/185";949;114;82;13;1158
"Dœn Laoghaire-Rathdown 05/186";849;86;57;12;1004
"Dœn Laoghaire-Rathdown 05/187";796;63;39;12;910
"Dœn Laoghaire-Rathdown 05/188";805;122;83;12;1022
"Dœn Laoghaire-Rathdown 05/189";954;163;48;6;1171
