"Theme 2 - 4 : Usually resident population aged one year and over by usual residence one year before Census Day, 2006";;;;;
"Geographic Area";"Same address";"Elsewhere in County";"Elsewhere in Ireland";"Outside Ireland";"Total"
"Dublin City and Suburbs  ";865194;71116;15090;38524;989924
"Dublin City 02  ";415199;38417;8385;23865;485866
"Dublin City 02/001";1339;50;6;16;1411
"Dublin City 02/002";970;46;1;0;1017
"Dublin City 02/003";932;46;1;3;982
"Dublin City 02/004";754;39;5;6;804
"Dublin City 02/005";739;40;1;13;793
"Dublin City 02/006";949;33;3;11;996
"Dublin City 02/007";953;36;3;9;1001
"Dublin City 02/008";1005;36;4;11;1056
"Dublin City 02/009";1044;42;6;15;1107
"Dublin City 02/010";890;40;8;10;948
"Dublin City 02/011";834;24;6;12;876
"Dublin City 02/012";879;33;3;20;935
"Dublin City 02/013";850;45;2;28;925
"Dublin City 02/014";930;47;3;22;1002
"Dublin City 02/015";1053;46;10;14;1123
"Dublin City 02/016";860;32;14;18;924
"Dublin City 02/017";1209;66;0;1;1276
"Dublin City 02/018";941;32;5;1;979
"Dublin City 02/019";891;99;1;1;992
"Dublin City 02/020";541;56;11;93;701
"Dublin City 02/021";1061;68;3;53;1185
"Dublin City 02/022";1113;128;2;11;1254
"Dublin City 02/023";1106;29;4;2;1141
"Dublin City 02/024";881;122;28;133;1164
"Dublin City 02/025";297;1;0;1;299
"Dublin City 02/026";801;33;11;18;863
"Dublin City 02/027";806;21;2;12;841
"Dublin City 02/028";793;66;10;34;903
"Dublin City 02/029";836;44;3;19;902
"Dublin City 02/030";843;88;13;32;976
"Dublin City 02/031";741;36;6;17;800
"Dublin City 02/032";894;43;8;16;961
"Dublin City 02/033";989;31;3;12;1035
"Dublin City 02/034";993;58;3;45;1099
"Dublin City 02/035";809;51;9;15;884
"Dublin City 02/036";830;60;13;26;929
"Dublin City 02/037";1099;77;7;18;1201
"Dublin City 02/038";851;34;3;5;893
"Dublin City 02/039";1059;26;4;6;1095
"Dublin City 02/040";933;29;3;2;967
"Dublin City 02/041";848;52;3;5;908
"Dublin City 02/042";1095;43;3;4;1145
"Dublin City 02/043";901;69;9;10;989
"Dublin City 02/044";872;28;0;6;906
"Dublin City 02/045";747;23;2;6;778
"Dublin City 02/046";898;26;4;3;931
"Dublin City 02/047";831;31;2;6;870
"Dublin City 02/048";894;37;2;4;937
"Dublin City 02/049";930;16;5;0;951
"Dublin City 02/050";1191;39;5;7;1242
"Dublin City 02/051";1235;23;1;4;1263
"Dublin City 02/052";1409;210;40;60;1719
"Dublin City 02/053";1499;56;5;5;1565
"Dublin City 02/054";892;41;1;0;934
"Dublin City 02/055";792;23;5;7;827
"Dublin City 02/056";869;19;0;7;895
"Dublin City 02/057";856;49;3;36;944
"Dublin City 02/058";765;45;5;11;826
"Dublin City 02/059";888;38;8;22;956
"Dublin City 02/060";919;36;7;23;985
"Dublin City 02/061";793;32;5;9;839
"Dublin City 02/062";791;45;4;13;853
"Dublin City 02/063";941;113;19;87;1160
"Dublin City 02/064";849;29;9;28;915
"Dublin City 02/065";824;32;11;40;907
"Dublin City 02/066";497;53;5;36;591
"Dublin City 02/067";723;39;14;16;792
"Dublin City 02/068";507;48;19;72;646
"Dublin City 02/069";313;33;4;24;374
"Dublin City 02/070";768;30;1;1;800
"Dublin City 02/071";411;48;7;23;489
"Dublin City 02/072";851;24;2;5;882
"Dublin City 02/073";929;20;0;12;961
"Dublin City 02/074";915;35;4;7;961
"Dublin City 02/075";548;79;16;54;697
"Dublin City 02/076";503;81;18;35;637
"Dublin City 02/077";635;108;21;71;835
"Dublin City 02/078";622;49;4;24;699
"Dublin City 02/079";796;45;19;36;896
"Dublin City 02/080";505;46;20;42;613
"Dublin City 02/081";912;52;8;23;995
"Dublin City 02/082";829;37;11;24;901
"Dublin City 02/083";835;26;0;13;874
"Dublin City 02/084";901;34;5;10;950
"Dublin City 02/085";890;23;6;6;925
"Dublin City 02/086";747;26;4;20;797
"Dublin City 02/087";957;40;3;34;1034
"Dublin City 02/088";659;45;6;8;718
"Dublin City 02/089";677;22;2;13;714
"Dublin City 02/090";711;28;11;18;768
"Dublin City 02/091";809;45;12;9;875
"Dublin City 02/092";798;63;2;6;869
"Dublin City 02/093";983;55;11;41;1090
"Dublin City 02/094";803;62;12;27;904
"Dublin City 02/095";996;49;4;15;1064
"Dublin City 02/096";790;36;7;10;843
"Dublin City 02/097";635;35;2;9;681
"Dublin City 02/098";634;24;0;14;672
"Dublin City 02/099";963;39;11;13;1026
"Dublin City 02/100";902;37;2;22;963
"Dublin City 02/101";867;34;7;17;925
"Dublin City 02/102";868;33;4;2;907
"Dublin City 02/103";789;29;3;21;842
"Dublin City 02/104";875;47;10;31;963
"Dublin City 02/105";858;38;6;11;913
"Dublin City 02/106";832;37;9;10;888
"Dublin City 02/107";689;65;16;33;803
"Dublin City 02/108, 02/560";1522;146;21;38;1727
"Dublin City 02/109";675;64;18;16;773
"Dublin City 02/110";746;40;4;13;803
"Dublin City 02/111";544;45;21;33;643
"Dublin City 02/112";657;60;30;35;782
"Dublin City 02/113";434;62;17;31;544
"Dublin City 02/114";395;28;16;30;469
"Dublin City 02/115";440;68;29;33;570
"Dublin City 02/116";512;50;34;22;618
"Dublin City 02/117";433;51;12;23;519
"Dublin City 02/118";540;41;11;15;607
"Dublin City 02/119";613;45;10;5;673
"Dublin City 02/120";660;57;16;16;749
"Dublin City 02/121";587;64;12;27;690
"Dublin City 02/122";805;56;7;6;874
"Dublin City 02/123";785;56;4;30;875
"Dublin City 02/124";734;45;3;9;791
"Dublin City 02/125";671;42;17;26;756
"Dublin City 02/126";1041;197;139;168;1545
"Dublin City 02/127";823;87;20;29;959
"Dublin City 02/128";433;62;4;27;526
"Dublin City 02/129";636;58;16;49;759
"Dublin City 02/130";464;42;18;28;552
"Dublin City 02/131";390;56;19;41;506
"Dublin City 02/132";373;56;15;30;474
"Dublin City 02/133";475;86;26;36;623
"Dublin City 02/134";448;50;19;33;550
"Dublin City 02/135";375;44;13;32;464
"Dublin City 02/136";298;51;9;39;397
"Dublin City 02/137";344;56;12;28;440
"Dublin City 02/138";302;58;31;36;427
"Dublin City 02/139";429;60;35;52;576
"Dublin City 02/140";277;66;24;34;401
"Dublin City 02/141";430;51;26;33;540
"Dublin City 02/142";701;49;13;24;787
"Dublin City 02/143";666;106;34;75;881
"Dublin City 02/144";521;55;14;61;651
"Dublin City 02/145";1031;131;11;61;1234
"Dublin City 02/146";577;60;23;51;711
"Dublin City 02/147";604;55;13;40;712
"Dublin City 02/148";429;47;11;35;522
"Dublin City 02/149";461;55;18;81;615
"Dublin City 02/150";805;67;12;51;935
"Dublin City 02/151";452;90;19;52;613
"Dublin City 02/152";286;62;22;47;417
"Dublin City 02/153";231;36;7;23;297
"Dublin City 02/154";420;62;20;22;524
"Dublin City 02/155";662;64;17;32;775
"Dublin City 02/156";442;83;19;33;577
"Dublin City 02/157";510;63;26;34;633
"Dublin City 02/158";482;71;23;39;615
"Dublin City 02/159";600;94;21;52;767
"Dublin City 02/160";547;130;28;43;748
"Dublin City 02/161";427;77;23;40;567
