"Theme 2 - 4 : Usually resident population aged one year and over by usual residence one year before Census Day, 2006";;;;;
"Geographic Area";"Same address";"Elsewhere in County";"Elsewhere in Ireland";"Outside Ireland";"Total"
"Dún Laoghaire-Rathdown 05/165";627;59;15;19;720
"Dún Laoghaire-Rathdown 05/166";801;92;41;32;966
"Dún Laoghaire-Rathdown 05/167";767;56;6;44;873
"Dún Laoghaire-Rathdown 05/168";917;58;8;22;1005
"Dún Laoghaire-Rathdown 05/169";845;14;6;2;867
"Dún Laoghaire-Rathdown 05/170";666;36;11;21;734
"Dún Laoghaire-Rathdown 05/173";992;25;14;12;1043
"Dún Laoghaire-Rathdown 05/174";972;82;11;18;1083
"Dún Laoghaire-Rathdown 05/175";701;83;13;37;834
"Dún Laoghaire-Rathdown 05/176";816;71;6;28;921
"Dún Laoghaire-Rathdown 05/177, 05/178";1427;244;114;146;1931
"Dún Laoghaire-Rathdown 05/179";830;59;8;26;923
"Dún Laoghaire-Rathdown 05/180";543;125;33;76;777
"Dún Laoghaire-Rathdown 05/181";149;117;16;17;299
"Dún Laoghaire-Rathdown 05/182";579;49;11;27;666
"Dún Laoghaire-Rathdown 05/184";958;55;11;16;1040
"Dún Laoghaire-Rathdown 05/185";978;94;15;39;1126
"Dún Laoghaire-Rathdown 05/186";928;31;11;15;985
"Dún Laoghaire-Rathdown 05/187";833;46;16;2;897
"Dún Laoghaire-Rathdown 05/188";873;65;9;45;992
"Dún Laoghaire-Rathdown 05/189";1024;32;11;71;1138
"Dún Laoghaire-Rathdown 05/190";1024;59;5;23;1111
"Dún Laoghaire-Rathdown 05/191";1089;74;23;39;1225
"Dún Laoghaire-Rathdown 05/192";783;41;12;32;868
"Dún Laoghaire-Rathdown 05/193";380;182;32;37;631
"Dún Laoghaire-Rathdown 05/194";820;43;14;21;898
"Dún Laoghaire-Rathdown 05/196";343;63;9;14;429
"Dún Laoghaire-Rathdown 05/197";292;133;39;81;545
"Dún Laoghaire-Rathdown 05/198";386;467;69;84;1006
"Dún Laoghaire-Rathdown 05/200";322;88;11;18;439
"Dún Laoghaire-Rathdown 05/201";628;56;8;23;715
"Dún Laoghaire-Rathdown 05/202";336;195;46;59;636
"Dún Laoghaire-Rathdown 05/203";569;82;14;33;698
"Dún Laoghaire-Rathdown 05/204";784;143;25;38;990
"Dún Laoghaire-Rathdown 05/205";420;298;39;21;778
"Cork City and Suburbs  ";157620;12381;2847;6877;179725
"Cork City 17 ";101056;8259;1942;4755;116012
"Cork City 17/001";696;46;10;17;769
"Cork City 17/002";680;44;13;24;761
"Cork City 17/003";687;48;11;35;781
"Cork City 17/004";550;104;36;84;774
"Cork City 17/005";778;52;26;47;903
"Cork City 17/006, 17/008";1714;42;4;12;1772
"Cork City 17/009";987;20;2;5;1014
"Cork City 17/010";784;37;4;10;835
"Cork City 17/011";831;19;3;1;854
"Cork City 17/012";843;16;2;5;866
"Cork City 17/013";955;106;25;55;1141
"Cork City 17/014";711;79;24;48;862
"Cork City 17/015, 17/124";1639;111;29;68;1847
"Cork City 17/016";942;52;4;18;1016
"Cork City 17/017";748;28;3;25;804
"Cork City 17/018";793;19;4;12;828
"Cork City 17/019";727;10;6;9;752
"Cork City 17/020";872;61;10;17;960
"Cork City 17/021";770;49;19;47;885
