"Theme 2 - 2 : Persons usually resident and present in the State on Census Night, classified by nationality, 2006";;;;;;;;
"Nationality";"Irish";"UK";"Polish";"Lithuanian";"Other EU25";"Rest of World";"Not Stated";"Total"
"009 Kellysgrove";317;17;0;0;0;2;3;339
"010 Kilconnell";643;17;0;0;2;9;8;679
"011 Killaan";503;11;2;0;0;1;2;519
"012 Killallaghtan";415;15;0;0;0;2;0;432
"013 Killoran";274;7;1;0;0;0;4;286
"014 Killure";762;24;0;0;1;3;6;796
"015 Kilmacshane";200;13;5;0;9;0;3;230
"016 Kiltormer";543;10;1;0;0;2;9;565
"017 Kylemore";160;5;1;0;0;0;5;171
"018 Laurencetown";358;5;2;0;0;0;5;370
"019 Lismanny";236;2;0;0;0;1;2;241
"020 Oatfield";391;9;0;0;1;1;7;409
"021 Ballynakill";447;31;0;0;9;5;6;498
"022 Binn an Choire";161;7;1;3;17;12;5;206
"023 Bunowen";387;20;2;0;2;6;6;423
"024 Cleggan";250;15;1;0;2;8;1;277
"025 Clifden";1556;111;51;3;39;91;63;1914
"026 Cushkillary";149;7;0;0;10;5;0;171
"027/028 Derrycunlagh/Derrylea";206;9;1;0;12;8;2;238
"029 Doonloughan";86;5;0;0;4;0;3;98
"030 Errislannan";191;14;0;0;4;7;1;217
"031 An Uillinn";96;2;0;0;0;0;0;98
"032 Inishbofin";178;3;0;0;0;3;7;191
"033 An Cnoc Buí";755;13;0;0;6;7;6;787
"034 Maíros";311;10;4;0;7;12;2;346
"035 Abhainn Ghabhla";290;6;0;0;4;7;5;312
"036 Rinvyle";1044;73;3;1;26;15;15;1177
"037 Roundstone";345;22;0;0;4;4;9;384
"038 Sillerna";398;21;0;0;9;5;3;436
"039 Scainimh";583;20;1;0;0;9;4;617
"040 Annaghdown";1602;34;2;3;26;13;20;1700
"041 Aughrim";1012;34;2;0;8;13;3;1072
"042 Baile an Teampaill (part)";1258;38;35;0;16;24;14;1385
"043 Ballynacourty";1010;31;1;0;11;17;2;1072
"044 Bearna (part)";2791;75;14;0;30;51;22;2983
"045 Belleville";468;17;0;0;6;6;4;501
"046 Carnmore";2019;40;18;9;7;25;12;2130
"047 Ceathrú an Bhrúnaigh (part)";819;13;8;0;11;9;6;866
"048 Baile Chláir";1668;41;37;12;18;47;3;1826
"049 Clarinbridge";2381;81;31;6;33;77;32;2641
"050 Deerpark";1108;29;3;0;4;10;8;1162
"051 Na Forbacha";1104;29;2;0;24;29;12;1200
"052 Galway Rural (part)";110;1;0;0;2;1;0;114
"053 Árainn";1074;8;10;1;21;28;14;1156
"054 Cill Chuimin";1227;38;0;0;12;18;6;1301
"055 Cill Aithnín";873;27;7;6;11;8;4;936
"056 Leacach Beag";1158;28;6;2;9;18;11;1232
"057 Liscananaun";1249;35;8;1;16;29;8;1346
"058 Lisín an Bhealaigh";831;35;11;5;5;11;4;902
"059 Maigh Cuilinn";1588;61;8;0;28;53;13;1751
"060 Oranmore";2829;94;167;28;96;150;83;3447
"061 Sailearna";1270;38;1;0;14;20;8;1351
"062 Sliabh an Aonaigh";631;18;0;4;15;11;3;682
"063 An Spidéal";1188;23;10;8;16;17;5;1267
"064 Stradbally";974;28;3;5;13;5;10;1038
"065 Tulaigh Mhic Aodháin";1580;59;16;5;34;33;9;1736
"066 Ballinastack";303;12;0;0;0;7;0;322
"067 Ballymoe";398;17;3;0;0;5;3;426
"068 Ballynakill";414;20;0;0;0;0;0;434
"069 Boyounagh";256;8;0;0;0;4;1;269
"070 Creggs";363;16;5;0;2;2;2;390
"071 Curraghmore";155;15;0;0;0;0;0;170
"072 Glennamaddy";741;31;5;0;31;29;10;847
"073 Island";264;16;0;0;0;5;0;285
"074 Kilcroan";495;23;8;0;1;2;3;532
"075 Kiltullagh";173;2;0;0;2;0;3;180
"076 Raheen";446;21;5;0;0;3;13;488
"077 Scregg";220;1;0;0;0;0;0;221
"078 Shankill";285;9;0;0;1;2;5;302
"079 Templetogher";390;13;0;0;0;0;2;405
"080 Toberroe";283;23;2;0;0;0;5;313
"081 Ardamullivan";521;35;0;0;8;5;2;571
"082 Ardrahan";445;20;0;3;2;8;1;479
"083 Ballycahalan";174;12;0;0;1;1;2;190
"084 Beagh";540;36;9;0;2;7;4;598
"085 Cahermore";416;20;1;0;5;8;4;454
"086 Cappard";94;8;0;0;0;0;0;102
"087 Castletaylor";448;20;2;1;4;3;0;478
"088 Doorus";591;39;0;0;10;22;5;667
"089 Drumacoo";877;43;21;0;13;27;6;987
"090 Gort";1653;60;40;0;30;943;13;2739
"091 Kilbeacanty";242;28;0;0;9;1;3;283
"092 Killeely";1149;57;8;0;8;15;8;1245
"093 Killeenavarra";569;26;8;1;9;13;5;631
"094 Killinny";357;23;0;0;9;4;4;397
"095 Kiltartan";640;13;0;0;2;5;7;667
"096 Kilthomas";78;7;0;0;0;3;0;88
"097 Kinvarra";1001;54;8;0;8;36;3;1110
"098 Rahasane";267;8;0;0;3;0;0;278
"099 Skehanagh";374;15;0;0;3;0;2;394
"100 Aille";393;16;0;0;1;1;1;412
"101 Athenry";3407;123;131;16;76;205;41;3999
"102 Ballynagar";192;4;0;0;0;3;1;200
"103 Bracklagh";382;18;1;4;3;10;3;421
"104 Bullaun";200;8;0;0;0;0;4;212
"105 Cappalusk";341;9;0;0;0;1;4;355
"106 Castleboy";468;13;0;0;4;2;0;487
"107 Cloonkeen";322;16;0;0;1;5;2;346
"108 Colmanstown";88;1;0;0;1;1;2;93
"109 Craughwell";1253;52;0;4;20;16;10;1355
"110 Derrylaur";108;5;0;0;0;0;0;113
"111 Drumkeary";529;25;0;0;0;5;5;564
"112 Graigabbey";274;14;0;0;1;2;1;292
"113 Grange";671;12;1;2;1;3;4;694
"114 Greethill";765;23;0;0;3;9;3;803
"115 Kilchreest";300;3;5;0;3;2;0;313
"116 Kilconickny";549;34;0;0;5;3;3;594
"117 Kilconierin";359;26;0;0;0;8;0;393
"118 Killimor";301;4;0;0;1;2;4;312
"119 Killogilleen";594;26;0;0;3;8;6;637
"120 Kilmeen";567;15;0;0;6;2;4;594
"121 Kilreekill";268;7;0;0;0;3;3;281
"122 Kilteskill";281;14;0;0;12;0;3;310
"123 Kiltullagh";615;14;1;0;3;8;7;648
"124 Lackalea";284;9;0;0;3;8;0;304
"125 Leitrim";361;22;0;0;7;3;3;396
"127 Loughrea Rural";849;17;0;0;2;11;4;883
"128 Loughrea Urban";3630;187;96;24;90;378;53;4458
"129/126 Marblehill/Loughatorick";342;31;1;0;15;2;5;396
"130 Mountain";233;17;0;0;1;2;0;253
"131 Movode";181;12;1;0;0;2;1;197
"132 Raford";362;11;1;0;2;0;4;380
"133 Tiaquin";449;11;3;0;1;5;2;471
"134 Woodford";456;19;3;0;10;3;5;496
"135 Annagh";332;5;0;0;0;1;5;343
"136 Ballynakill";484;7;0;4;1;5;4;505
"137 Caltra";333;8;0;0;0;1;7;349
"138 Castleblakeney";454;14;0;0;2;0;2;472
"139 Castleffrench";458;10;1;0;0;1;7;477
"140 Clonbrock";471;22;6;0;2;1;3;505
"141 Cloonkeen";271;5;0;0;0;1;3;280
"142 Cooloo";502;7;0;0;1;1;1;512
"143 Derryglassaun";717;40;11;1;10;1;5;785
"144 Killeroran";1131;44;57;4;8;20;23;1287
"145 Killian";293;8;5;0;0;1;3;310
"146 Mount Bellew";1572;53;24;26;2;19;9;1705
"147 Mounthazel";409;27;0;0;4;8;2;450
"148 Taghboy";199;6;0;0;0;3;1;209
"149 Camas";353;6;0;0;0;3;0;362
"150 An Fhairche";824;37;24;0;17;29;9;940
"151 Conga";503;26;3;0;11;8;1;552
"152 An Crompán";2166;51;0;0;18;20;20;2275
"153 An Chorr";144;9;0;0;1;1;0;155
"154 Garmna";1206;41;0;0;6;14;9;1276
"155 Cill Chuimín";108;4;0;0;0;3;1;116
"156 Leitir Breacáin";169;14;1;0;4;7;0;195
"157 Letterfore";244;16;0;0;16;2;1;279
"158 Leitir Móir";821;24;0;0;6;7;5;863
"159 Oughterard";2161;165;7;14;55;66;27;2495
"160 An Ros";98;5;0;0;0;0;0;103
"161 An Turlach";515;19;0;0;0;15;6;555
"162 Wormhole";1800;93;0;0;23;46;5;1967
"163 Abbeyville";238;5;0;0;2;1;1;247
"164 Ballyglass";160;5;0;0;2;0;0;167
"165 Coos";124;1;2;0;8;1;0;136
"166 Derrew";153;1;0;0;0;1;1;156
"167 Drummin";344;13;0;0;3;6;1;367
"168 Eyrecourt";446;15;0;0;3;7;5;476
"169 Killimor";658;8;10;0;6;8;10;700
"170 Kilmalinoge";222;3;0;0;2;2;7;236
"171 Kilquain";267;9;0;0;3;3;8;290
"172 Meelick";246;3;3;0;0;3;0;255
"173 Moat";157;5;0;0;0;0;0;162
"174 Pallas";389;15;6;0;7;1;0;418
"175 Portumna";1700;71;88;2;28;50;24;1963
"176 Tiranascragh";157;4;0;0;2;0;7;170
"177 Tynagh";395;10;3;0;3;2;0;413
"178 Abbey East";575;18;10;0;6;6;9;624
"179 Abbey West";531;22;1;0;2;5;14;575
"180 Addergoole";459;34;0;0;0;6;3;502
"181 Annaghdown";1166;44;0;0;9;13;7;1239
"182 Ballinderry";316;9;2;0;1;4;1;333
"183 Ballinduff";562;30;0;2;7;11;4;616
"184 Ballynapark";812;19;0;0;1;17;3;852
"185 Beaghmore";267;15;0;0;0;4;1;287
"186 Belclare";704;26;0;0;2;7;3;742
"187 Carrownagur";355;12;0;0;2;2;5;376
"188 Carrowrevagh";376;19;0;0;0;2;0;397
"189 Claretuam";935;22;0;0;2;6;9;974
"190 Clonbern";357;3;0;0;0;6;4;370
"191 Cloonkeen";426;15;0;0;3;3;3;450
"192 Cummer";862;46;0;0;8;10;6;932
"193 Donaghpatrick";506;13;0;0;1;3;4;527
"194 Doonbally";459;28;0;0;2;7;1;497
"195 Dunmore North";499;33;3;0;0;6;0;541
"196 Dunmore South";791;30;11;0;3;14;7;856
"197 Foxhall";513;26;1;4;0;7;5;556
"198 Headford";1217;45;24;0;11;22;3;1322
"199 Hillsbrook";603;26;0;0;3;5;5;642
"200 Kilbennan";351;6;0;0;0;0;4;361
"201 Kilcoona";496;9;0;0;1;1;2;509
"202 Killeany";484;29;0;0;7;7;4;531
"203 Killeen";598;32;8;0;1;4;2;645
"204 Killererin";678;19;1;0;10;1;5;714
"205 Killower";704;14;0;0;0;6;4;728
"206 Killursa";898;29;6;1;9;12;0;955
"207 Kilmoylan";848;32;0;0;2;9;2;893
"208 Kilshanvy";363;17;0;0;2;2;0;384
"209 Levally";347;7;0;0;4;0;8;366
"210 Milltown";509;18;2;0;3;2;3;537
"211 Monivea";572;24;6;0;12;8;6;628
"212 Moyne";615;13;3;0;0;4;1;636
"213 Ryehill";510;44;3;0;2;6;2;567
"214 Toberadosh";330;18;0;0;2;0;1;351
"215 Tuam Rural";3985;153;161;55;51;107;66;4578
"216 Tuam Urban";2571;81;84;55;52;86;43;2972
"Leitrim County";25390;1474;408;113;432;547;195;28559
"001 Ballinamore";948;41;18;15;5;31;10;1068
"002 Cloverhill";293;19;0;0;3;4;3;322
"003 Corrala";216;5;0;0;1;4;0;226
"004 Drumreilly North";145;7;0;2;1;2;0;157
"005 Drumreilly South";105;11;0;4;1;2;3;126
"006 Garadice";462;6;1;0;4;0;7;480
"007/011 Greaghlass/Stralongford";303;24;0;0;3;8;7;345
"008 Killygar";117;4;0;0;9;3;0;133
"009 Newtowngore";184;6;2;0;1;1;0;194
"010 Oughteragh";79;2;0;0;0;0;2;83
"012 Aghacashel";71;11;0;0;2;3;0;87
"013 Annaduff";187;11;0;0;1;2;3;204
"014 Barnameenagh";130;3;4;0;10;4;0;151
"015 Carrick-on-Shannon";2645;171;220;54;97;206;27;3420
"017/016 Drumreilly West/Drumreilly East";149;23;0;0;5;8;0;185
"018 Drumshanbo";922;43;33;1;15;20;6;1040
"019 Drumsna";536;32;4;0;7;6;6;591
"020 Gortnagullion";245;30;0;0;2;1;1;279
"021 Gowel";297;8;0;0;3;5;2;315
"022 Keshcarrigan";277;44;14;0;11;5;7;358
"023 Kiltubbrid";130;8;0;0;5;2;1;146
"024 Leitrim";761;49;6;0;13;8;0;837
"025 Moher";181;13;0;0;4;1;0;199
"026 Yugan";211;10;0;0;13;0;0;234
"027/028 Aghalateeve/Aghanlish";218;5;0;0;3;2;5;233
"029/032 Melvin/Aghavoghill";176;17;0;0;6;3;3;205
"030 Gubacreeny";442;46;0;2;10;7;2;509
"031 Kinlough";762;53;22;0;4;12;6;859
"033 Tullaghan";531;35;0;0;5;11;5;587
"035 Ballaghameehan";189;7;0;0;9;0;1;206
"036 Belhavel";227;28;0;0;13;2;3;273
"037 Cloonclare";181;4;0;0;0;4;2;191
"038 Cloonlogher";223;38;0;0;5;2;3;271
"039 Drumahaire";1109;64;5;2;23;14;9;1226
"040 Drumkeeran";496;23;0;0;0;5;6;530
"041/034 Garvagh/Arigna";116;17;0;0;1;5;0;139
"042 Glenade";158;11;1;0;1;1;0;172
"043 Glenaniff";134;17;0;0;1;3;2;157
"044 Glenboy";216;12;0;0;5;3;2;238
"045 Glencar";234;8;0;0;0;3;2;247
"046 Glenfarn";122;6;0;0;2;0;1;131
"047 Killanummery";332;23;0;0;4;4;2;365
"048 Killarga";83;4;0;0;1;3;0;91
"049 Kiltyclogher";237;13;0;0;1;2;0;253
"050 Lurganboy";360;12;0;0;7;2;2;383
"051 Mahanagh";248;17;0;0;6;3;4;278
"052 Manorhamilton";1440;54;34;10;38;49;11;1636
"053 Munakill";193;9;0;0;0;1;5;208
"054 Sramore";285;11;0;0;4;4;1;305
"055 St. Patrick's";127;9;0;0;3;2;4;145
"056 Aghavas";273;14;0;0;1;4;2;294
"057 Beihy";292;14;0;0;0;3;1;310
"058 Breandrum";225;33;0;0;2;2;4;266
"059 Bunnybeg";144;5;0;0;0;0;0;149
"060 Carrigallen East";274;22;3;8;8;5;0;320
"061 Carrigallen West";328;26;1;10;8;8;2;383
"062 Cashel";146;4;0;0;2;3;0;155
"063 Castlefore";218;16;0;3;8;2;0;247
"064 Cattan";258;8;0;0;0;0;1;267
"065 Cloone";309;10;0;0;1;2;2;324
"066 Corriga";155;2;0;0;0;3;0;160
"067 Drumard";200;4;0;0;1;0;3;208
"068 Drumdoo";261;24;0;0;3;2;0;290
"069 Drumod";520;20;19;0;8;8;2;577
"070 Fenagh";316;10;0;0;8;2;2;338
"071 Gortermone";295;3;2;0;0;0;0;300
"072 Keeldra";202;1;0;0;0;0;0;203
"073 Lisgillock";201;12;0;0;0;0;0;213
"074 Mohill";1243;75;15;0;5;23;6;1367
"075 Rinn";255;1;3;2;2;0;1;264
"076 Riverstown";242;15;0;0;2;1;2;262
"077 Roosky";394;17;1;0;1;3;1;417
"078 Rowan";206;14;0;0;4;3;0;227
"Mayo County";109900;5664;1191;508;1433;2148;836;121680
"001 Ardnaree South Urban";2287;128;37;1;29;30;22;2534
"002 Ballina Urban";3814;147;79;2;69;73;38;4222
"003 Castlebar Urban";5239;174;161;74;91;250;47;6036
"004 Westport Urban";4139;188;108;19;138;139;36;4767
"005 Ardagh";309;16;0;0;0;3;3;331
"006 Ardnaree North";901;33;1;0;1;14;11;961
"007 Ardnaree South Rural";2187;85;21;1;13;47;17;2371
"008 Attymass East";355;34;0;0;7;1;8;405
"009 Attymass West";198;27;0;0;0;1;1;227
"010 Ballina Rural";2306;105;17;0;19;34;8;2489
"011 Ballycastle";591;18;0;0;5;6;7;627
"012 Ballysakeery";505;34;0;0;1;1;6;547
"013 Béal Deirg Mór";173;2;0;0;3;0;0;178
"014 Bunaveela";105;0;0;0;0;0;3;108
"015 Carrowmore";788;34;2;0;4;2;7;837
"016 Crossmolina North";904;28;1;0;9;7;10;959
"017 Crossmolina South";750;33;5;0;3;10;4;805
"018 Deel";496;7;0;0;1;3;4;511
"019 Derry";199;12;0;0;4;0;1;216
"020 Fortland";461;8;0;0;0;1;7;477
"021 Kilfian East";214;4;0;0;0;0;1;219
"022 Kilfian South";237;3;0;0;1;1;3;245
"023 Kilfian West";128;1;0;0;0;0;4;133
"024 Kilgarvan";719;47;0;0;0;4;1;771
"025 Killala";1163;53;3;2;9;16;5;1251
"026 Lackan North";322;16;0;0;3;2;2;345
"027 Lackan South";406;14;0;0;5;6;3;434
"028 Letterbrick";158;1;0;0;0;0;2;161
"029 Mount Falcon";1135;59;0;0;2;6;3;1205
"030 Rathoma";199;13;0;0;0;2;3;217
"031 Sallymount";411;23;0;0;2;2;6;444
"032 Sraheen";961;62;0;0;6;12;5;1046
"033 Baile an Chalaidh";216;20;6;0;3;9;1;255
"034 Ballinrobe";2474;128;201;44;107;147;26;3127
"035 Baile Óbha";198;10;0;0;1;5;1;215
"036 Burriscarra";411;24;3;0;1;0;1;440
"037 An Cheapaigh Dhuibh";301;17;0;0;0;10;2;330
"038 Cong";635;23;11;0;9;16;5;699
"039 Coonard";252;13;0;0;0;3;0;268
"040 Dalgan";1014;36;7;0;7;15;9;1088
"041 Hollymount";715;22;0;5;10;6;3;761
"042 Houndswood";555;16;0;3;2;8;2;586
"043 Kilcommon";616;26;1;0;1;2;5;651
"044 Kilmaine";903;35;0;1;3;11;10;963
"045 Neale";651;24;0;0;1;3;4;683
"046 Newbrook";485;26;0;0;0;0;0;511
"047 Abhainn Bhrain";214;17;0;0;2;2;1;236
"048 Partraí";455;25;0;0;4;2;1;487
"049 Roslee";361;21;0;0;4;0;4;390
"050 Shrule";969;43;6;0;10;21;7;1056
"051 An Geata Mór Thuaidh";768;52;0;0;3;6;6;835
"052 An Geata Mór Theas";859;39;0;0;1;7;3;909
"053 Bangor";447;18;2;0;0;3;3;473
"054 Barr Rúscaí";109;0;0;0;0;0;0;109
"055 Béal an Mhuirthead";1727;93;54;11;61;20;4;1970
"056 Gleann na Muaidhe";237;6;0;0;0;4;3;250
"057 Gleann Chaisil";479;26;0;0;3;1;1;510
"058/065 Glenco/Sheskin";112;3;0;0;0;0;0;115
"059 Guala Mhór";145;5;0;0;0;2;0;152
"060 Cnoc an Daimh";339;8;0;0;3;5;0;355
"061 Cnoc na Lobhar";794;41;1;0;4;2;6;848
"062 Moing na Bó";298;15;0;0;2;1;2;318
"063 Na Monga";218;10;2;0;3;1;2;236
"064 Cnoc na Ráithe";665;44;0;0;8;1;4;722
"066 Addergoole";697;43;0;0;5;7;5;757
"067 Balla";1239;59;9;0;9;18;15;1349
"068 Ballinafad";459;28;0;0;0;10;7;504
"069 Ballyhean";491;22;0;0;6;3;3;525
"070 Ballynagoraher";323;27;0;0;3;0;2;355
"071 Bellavary";857;59;1;0;8;1;6;932
"072 Breaghwy";1518;47;1;5;12;18;16;1617
"073 Burren";278;12;0;0;2;0;0;292
"074 Castlebar Rural";5965;244;127;27;100;256;41;6760
"075 Clogher";460;21;0;0;0;7;7;495
"076 Cloonkeen";705;37;4;0;2;12;3;763
"077 Croaghmoyle";140;13;0;0;4;0;4;161
"078 Killavally";423;16;2;0;0;5;5;451
"079 Manulla";808;39;0;0;1;2;2;852
"080 Pontoon";387;21;0;0;2;0;0;410
"081 Strade";511;32;0;0;5;5;11;564
"082 Tamhnaigh na Graí";341;10;0;0;3;3;0;357
"083 Turlough";1152;50;0;0;8;11;6;1227
"084 Ballindine";726;38;0;0;7;6;10;787
"085 Ballyhaunis";1813;66;104;87;152;313;19;2554
"086 Ballyhowly";448;11;0;18;2;3;4;486
"087 Bekan";658;33;2;11;0;6;1;711
"088 Caraun";320;12;0;0;1;5;3;341
"089 Claremorris";2672;99;43;134;95;55;13;3111
"090 Cloghermore";165;1;0;0;0;1;0;167
"091 Course";388;35;0;3;0;4;2;432
"092 Crossboyne";561;22;0;0;6;3;1;593
"093 Culnacleha";452;17;0;0;1;4;5;479
"094 Garrymore";434;12;0;0;1;0;7;454
"095 Kilcolman";419;19;0;0;3;3;4;448
"096 Kilvine";573;20;3;0;2;3;1;602
"097 Knock North";613;37;0;18;5;13;5;691
"098 Knock South";670;33;7;0;3;9;4;726
"099 Loughanboy";320;25;0;0;5;0;3;353
"100 Mayo";394;25;0;0;1;1;0;421
"101 Murneen";389;21;0;2;3;2;2;419
"102 Tagheen";199;1;0;0;0;1;0;201
"103 Aghamore";588;20;0;0;0;10;1;619
"104 Ballinamore";330;18;0;2;0;0;2;352
"105 Bohola";203;12;2;0;1;1;1;220
"106 Brackloon";551;37;0;0;2;2;6;598
"107 Callow";332;30;0;0;7;3;3;375
"108 Cloonmore";447;44;4;0;2;1;3;501
"109 Coolnaha";451;24;0;1;3;9;5;493
"110 Cuildoo";349;21;0;0;1;7;0;378
"111 Doocastle";394;21;0;0;0;0;2;417
"112 Kilbeagh";906;61;17;0;30;17;11;1042
"113 Kilkelly";795;73;8;5;4;9;2;896
"114 Killedan";606;76;0;2;2;17;1;704
"115 Kilmovee";571;51;1;0;3;5;1;632
"116 Kiltamagh";1288;104;15;14;20;52;17;1510
"117 Meelick";510;44;0;0;1;0;7;562
"118 Sonnagh";1101;75;37;0;15;18;6;1252
"119 Swineford";2443;144;9;6;8;22;18;2650
"120 Toocananagh";328;34;1;0;5;2;6;376
"121 Toomore";1207;87;18;3;20;16;14;1365
"122 Tumgesh";285;30;0;0;0;5;3;323
"123 Urlaur";468;33;3;2;1;6;6;519
"124 Acaill";841;49;0;0;7;9;8;914
"125 Aghagower North";786;36;4;0;5;7;6;844
"126 Aghagower South";125;4;0;0;0;1;1;131
"127 Aillemore";323;14;2;0;10;2;0;351
"128 Ballycroy North";291;13;0;0;2;0;0;306
"129 Ballycroy South";357;9;0;0;1;1;3;371
"131 Clare Island";177;7;1;0;3;1;4;193
"132 Clogher";688;52;4;0;11;10;5;770
"133 An Corrán";621;51;3;0;8;6;4;693
"134 Croaghpatrick";472;55;0;0;14;4;1;546
"135 Derryloughan";540;33;0;0;1;4;1;579
"136 Dumha Éige";583;37;0;3;4;2;3;632
"137 Drummin";164;10;3;0;3;1;3;184
"138 Emlagh";227;15;0;0;4;5;0;251
"139 Erriff";100;1;0;0;2;0;0;103
"140 Glenhest";209;10;0;0;2;1;0;222
"141 Islandeady";924;44;0;0;5;5;16;994
"142 Kilgeever";102;2;0;0;0;0;0;104
"143 Kilmaclasser";488;38;0;0;1;5;0;532
"144 Kilmeena";1249;106;0;0;17;18;6;1396
"145 Kilsallagh";428;56;0;0;4;5;2;495
"146 Knappagh";574;39;3;0;12;5;5;638
"147 Louisburgh";672;71;3;0;5;14;4;769
"148 Newport East";903;60;5;2;8;9;15;1002
"149 Newport West";699;45;4;0;10;5;6;769
"150/130 Owennadornaun/Bundorragha";123;6;5;0;6;3;0;143
"151 Slievemahanagh";392;25;0;0;1;3;3;424
"152 Slievemore";887;69;3;0;12;18;6;995
"153 Srahmore";117;7;0;0;2;3;1;130
"154 Westport Rural";1335;59;4;0;13;23;7;1441
"Roscommon County";52317;2667;668;234;623;1223;486;58218
"001 Athlone West Rural";2666;82;104;13;51;162;12;3090
"002 Ballydangan";609;29;2;0;0;0;8;648
"003 Ballynamona";467;5;0;0;0;1;31;504
"004 Caltragh";243;8;0;0;0;0;0;251
"005 Carnagh";658;27;0;0;0;3;2;690
"006 Carrowreagh";453;3;0;0;3;0;6;465
"007 Castlesampson";335;1;0;0;0;0;4;340
"008 Cloonburren";217;6;0;0;0;4;5;232
"009 Cloonown";230;3;0;0;0;0;4;237
"010 Crannagh";1094;36;0;0;0;7;8;1145
"011 Creagh";1031;16;1;0;1;16;3;1068
"012 Culliagh";177;7;0;0;0;1;5;190
"013 Drumlosh";300;7;3;0;0;7;2;319
"014 Dysart";217;9;0;0;1;2;0;229
"015 Kilcar";323;7;0;0;1;1;2;334
"016 Kiltoom";1539;12;8;0;9;16;4;1588
"017 Lecarrow";271;20;0;0;7;6;0;304
"018 Moore";275;2;0;0;1;0;0;278
"019 Rockhill";311;9;1;0;2;1;3;327
"020 Taghboy";391;7;0;0;0;1;0;399
"021 Taghmaconnell";249;4;0;0;0;0;0;253
"022 Thomastown";730;6;0;0;0;1;4;741
"023 Turrock";307;6;1;0;1;0;0;315
"024 Aghafin";124;1;0;0;5;0;0;130
"026 Aughrim East";189;11;2;0;0;1;0;203
"027 Aughrim West";172;12;0;0;1;0;1;186
"028 Ballyfarnan";194;15;0;0;0;0;4;213
"029 Ballyfermoyle";124;4;0;0;1;4;2;135
"030 Boyle Rural";1202;85;14;10;20;11;3;1345
"031 Boyle Urban";1357;67;30;23;57;21;16;1571
"032 Breedoge";238;15;0;0;0;0;3;256
"033 Cloonteen";264;17;0;0;0;1;0;282
"034 Creeve";117;7;0;0;0;0;1;125
"035 Croghan";252;15;0;0;0;1;1;269
"036 Crossna";157;25;0;0;3;1;0;186
"037 Danesfort";584;35;34;19;26;33;7;738
"038 Estersnow";80;11;0;0;0;2;1;94
"039 Keadew";435;26;0;0;5;5;6;477
"040 Kilbryan";258;19;0;0;14;2;5;298
"041 Kilcolagh";74;9;0;0;2;1;0;86
"042 Killukin";236;15;0;0;1;2;2;256
"043 Killummod";82;8;0;0;0;0;0;90
"044 Kilmacumsy";230;17;0;0;0;2;2;251
"045 Kilmore";149;7;0;0;1;0;1;158
"046/048 Lisgarve/Mantua";205;11;0;0;0;1;2;219
"047/025 Lough Allen/Altagowlan";292;6;0;0;6;2;1;307
"049 Oakport";221;15;0;0;3;3;1;243
"050 Rockingham";327;7;0;0;1;3;0;338
"051 Rushfield";400;30;0;0;5;0;1;436
"052 Tivannagh";232;12;0;2;2;5;0;253
"053 Tumna North";147;25;2;0;6;0;0;180
"054 Tumna South";170;11;0;0;5;4;1;191
"055 Artagh North";706;71;0;0;1;4;12;794
"056 Artagh South";407;29;0;0;2;1;2;441
"057 Ballaghaderreen";2123;161;46;25;116;175;36;2682
"058 Ballinlough";900;88;0;0;10;8;17;1023
"059 Ballintober";641;30;1;0;4;2;8;686
"060 Baslick";136;12;0;0;0;4;0;152
"061 Bellanagare";516;45;0;1;2;9;1;574
"062 Buckill";324;37;3;0;0;2;1;367
"063 Carrowduff";206;8;0;0;2;0;0;216
"064 Castleplunket";475;24;0;0;3;7;4;513
"065 Castlereagh";2574;87;30;13;22;84;10;2820
"066 Castleteheen";286;20;0;0;0;0;6;312
"067 Cloonfower";271;17;0;0;2;0;0;290
"068 Coolougher";472;30;0;0;0;0;3;505
"069 Edmondstown";395;27;0;0;2;1;2;427
"070 Fairymount";319;32;0;0;1;2;6;360
"071 Frenchpark";778;36;8;10;12;18;9;871
"072 Kiltullagh";877;113;10;1;6;7;6;1020
"073 Loughglinn";624;57;4;0;0;2;6;693
"074 Annaghmore";303;17;0;0;0;5;0;325
"075 Athleague East";371;29;0;0;0;6;1;407
"076 Athleague West";424;25;22;4;6;6;4;491
"077 Ballygarden";170;31;0;0;3;1;2;207
"078 Bumlin";336;15;0;0;0;1;6;358
"079 Cams";445;14;4;0;1;3;2;469
"080 Cloonfinlough";164;22;0;0;0;0;1;187
"081 Cloontuskert";902;34;20;0;11;14;57;1038
"082 Cloonygormican";389;17;0;0;3;2;2;413
"083 Cloonyquin";271;14;0;0;1;0;0;286
"084 Creeve";133;12;0;0;2;0;3;150
"085 Cregga";160;11;0;0;0;1;0;172
"086 Drumdaff";402;27;1;0;0;7;0;437
"087 Dunamon";282;24;0;0;0;4;3;313
"088 Elia";122;8;0;0;0;0;2;132
"089 Elphin";682;45;19;0;4;11;1;762
"090 Fuerty";633;50;0;0;2;1;4;690
"091 Kilbride North";341;31;0;2;0;6;0;380
"092 Kilbride South";319;12;0;0;0;4;1;336
"093 Kilgefin";262;15;0;0;1;1;2;281
"094 Kilglass North";360;30;0;0;1;0;5;396
"095 Kilglass South";296;14;0;0;0;2;0;312
"096 Killavackan";172;14;0;0;0;1;3;190
"097 Killukin";215;3;0;0;0;0;6;224
"098 Kilteevan";406;19;0;0;0;12;2;439
