"Theme 2 - 1 : Persons usually resident and present in the State on Census Night, classified by place of birth, 2006";;;;;;;
"Birthplace";"Ireland";"UK";"Poland";"Lithuania";"Other EU25";"Rest of World";"Total"
"029 Ballylynan";993;86;9;0;3;6;1097
"030 Barrowhouse";408;33;1;0;0;1;443
"031 Curraclone";181;9;1;10;3;1;205
"032 Killabban";279;14;4;0;1;3;301
"033 Luggacurren";306;15;0;0;0;5;326
"034 Moyanna";264;7;0;0;0;0;271
"035 Rathaspick";218;11;0;0;0;2;231
"036 Stradbally";1477;63;0;0;5;2;1547
"037 Tankardstown";292;18;2;0;1;3;316
"038 Timogue";336;5;0;0;0;2;343
"039 Vicarstown";164;10;0;2;1;8;185
"040 Arderin";205;7;0;0;0;0;212
"041 Ballybrittas";697;53;2;0;1;9;762
"042 Ballycarroll";233;9;0;0;1;0;243
"043 Ballyfin";544;25;0;0;9;4;582
"044 Borris";680;35;66;12;29;40;862
"045/046 Brisha/Cappard";283;13;0;0;10;0;306
"047 Cappalough";291;26;0;0;1;2;320
"048 Cardtown";154;4;0;0;0;3;161
"049 Castlecuffe";366;19;0;0;0;3;388
"050 Clonaslee";800;38;0;1;9;5;853
"051 Clondarrig";501;15;0;0;4;8;528
"052 Clonin";185;14;0;0;3;1;203
"053 Coolrain";234;18;10;0;3;1;266
"054 Dangans";912;45;13;8;8;25;1011
"055 Emo";974;35;0;0;5;15;1029
"056 Garrymore";171;5;0;0;0;4;180
"057 Graigue";192;12;0;0;0;1;205
"058 Jamestown";377;17;3;3;3;4;407
"059 Kilcolmanbane";536;18;0;0;0;6;560
"060 Kilmullen";466;42;0;0;3;7;518
"061 Kilmurry";199;7;0;0;2;2;210
"062 Lacka";256;17;0;0;1;5;279
"063 Marymount";104;18;0;0;3;4;129
"064 Meelick";283;7;0;0;1;1;292
"065 Mountmellick Rural";944;40;0;0;0;8;992
"066 Mountmellick Urban";2556;118;46;23;29;89;2861
"067 Mountrath";1694;129;17;0;21;16;1877
"068 Nealstown";77;2;0;0;0;0;79
"069 O'More's Forest";412;19;0;0;0;3;434
"070 Portarlington South";4297;306;98;62;71;178;5012
"071 Portlaoighise (Maryborough) Rural";9066;559;278;206;215;642;10966
"072 Portlaoighise (Maryborough) Urban";2611;137;198;90;91;111;3238
"073 Rearymore";247;10;0;0;0;2;259
"074 Rosenallis";414;10;0;0;1;3;428
"075 Sallyford";479;22;0;0;0;5;506
"076 Shaen";816;45;0;6;0;6;873
"077 Tinnahinch";143;5;0;0;0;3;151
"078 Trumra";229;14;1;0;0;4;248
"079 Ballybrophy";153;5;3;0;0;0;161
"080 Borris-in-Ossory";717;36;22;0;5;12;792
"081 Clonmore";175;21;0;0;0;3;199
"082 Errill";348;28;0;0;0;1;377
"083 Kyle";226;16;0;0;1;5;248
"084 Kyle South";271;10;1;0;0;0;282
"085 Moneenalassa";134;7;0;0;0;0;141
"086 Moneymore";116;4;0;0;1;1;122
"087 Rathsaran";436;22;22;0;9;4;493
"088 Ardough";268;19;0;0;1;7;295
"089 Arless";322;35;0;0;3;3;363
"090 Ballickmoyler";522;15;0;0;0;3;540
"091 Ballylehane";150;19;0;0;1;2;172
"092 Doonane";488;52;0;0;0;8;548
"093 Farnans";155;5;0;0;1;1;162
"094 Graigue Rural";2626;163;81;20;61;92;3043
"095 Newtown";290;17;1;0;0;2;310
"096 Rossmore";386;30;0;0;4;2;422
"097 Shrule";268;18;0;0;0;2;288
"098 Turra";308;30;3;0;2;3;346
"Longford County";29174;2282;712;307;583;1014;34072
"001 Longford No. 1 Urban";2320;167;186;35;143;244;3095
"002 Longford No. 2 Urban";605;50;46;18;27;30;776
"003 Agharra";316;23;0;0;0;10;349
"004 Ballymahon";1560;111;33;30;25;28;1787
"005 Cashel East";293;11;0;1;4;2;311
"006 Cashel West";508;33;0;0;5;1;547
"007 Doory";368;41;0;0;3;2;414
"008 Forgney";394;32;4;0;5;9;444
"009 Foxhall";458;41;3;0;2;4;508
"010 Kilcommock";516;59;7;0;2;8;592
"011 Kilglass";560;39;0;2;2;11;614
"012 Ledwithstown";257;23;0;0;1;2;283
"013 Abbeylara";282;17;0;6;0;4;309
"014 Ballinalee";403;36;0;0;0;6;445
"015 Ballymuigh";228;13;0;0;0;4;245
"016 Bunlahy";152;10;0;3;0;2;167
"017 Columbkille";566;29;0;1;1;5;602
"018 Coolamber";304;14;0;1;0;2;321
"019 Creevy";311;20;6;0;1;5;343
"020 Crosagstown";189;21;0;0;2;5;217
"021 Currygrane";106;9;0;5;2;1;123
"022 Dalystown";170;4;0;0;0;1;175
"023 Drummeel";116;6;0;0;4;0;126
"024/035 Firry/Newgrove";203;10;0;0;4;4;221
"025 Gelshagh";291;22;0;0;0;3;316
"026 Granard Rural";279;18;1;0;0;0;298
"027 Granard Urban";766;33;68;12;16;30;925
"028 Knockanbaun";134;10;0;0;0;2;146
"029 Lislea";138;14;0;0;0;0;152
"030 Meathas Truim";1195;89;34;71;62;82;1533
"031 Milltown";311;22;0;3;3;10;349
"032 Moatfarrell";163;15;3;0;4;2;187
"033 Moyne";278;20;0;0;0;2;300
"034 Mullanalaghta";281;11;1;0;0;2;295
"036 Sonnagh";263;16;0;1;0;4;284
"037 Aghaboy";506;71;0;2;3;13;595
"038 Ardagh East";516;30;7;3;2;3;561
"039 Ardagh West";392;33;0;0;0;10;435
"040 Ballinamuck East";445;18;0;0;4;4;471
"041 Ballinamuck West";403;28;0;0;0;3;434
"042 Breanrisk";638;55;1;1;2;10;707
"043 Caldragh";1320;143;33;19;15;42;1572
"044 Cloondara";510;51;2;0;1;8;572
"045 Cloonee";595;50;18;0;3;9;675
"046 Corboy";334;30;0;0;2;4;370
"047 Drumgort";403;23;1;0;4;4;435
"048 Drumlish";779;72;10;0;17;41;919
"049 Killashee";242;29;0;0;1;7;279
"050 Killoe";268;24;0;0;5;3;300
"051 Longford Rural";3988;310;224;82;148;250;5002
"052 Mountdavis";184;18;0;0;2;0;204
"053 Moydow";554;25;0;0;4;2;585
"054 Newtown Forbes";729;87;10;2;9;49;886
"055 Rathcline";1084;96;14;9;43;25;1271
"Louth County";93116;9558;667;989;1580;4390;110300
"001 Fair Gate";8189;460;139;128;176;595;9687
"002 St. Laurence Gate";3175;202;22;69;113;188;3769
"003 West Gate";5173;253;44;86;91;221;5868
"047 St. Mary's (part)";4993;394;45;93;124;321;5970
"004 Dundalk Urban No. 1";1759;121;20;30;43;200;2173
"005 Dundalk Urban No. 2";914;71;36;44;62;67;1194
"006 Dundalk Urban No. 3";1073;101;44;20;18;67;1323
"007 Dundalk Urban No. 4";5346;626;54;109;120;338;6593
