"Theme 2 - 4 : Usually resident population aged one year and over by usual residence one year before Census Day, 2006";;;;;
"Usual Residence";"Same address";"Elsewhere in County";"Elsewhere in Ireland";"Outside Ireland";"Total"
"095 Kilglass South";304;2;2;0;308
"096 Killavackan";182;3;3;0;188
"097 Killukin";209;5;7;0;221
"098 Kilteevan";407;16;14;1;438
"099 Lackan";290;7;9;2;308
"100 Lismaha";330;1;6;3;340
"101 Lissonuffy";168;1;0;2;171
"102 Mote";660;17;35;14;726
"103 Ogulla";218;5;2;0;225
"104 Roosky";473;15;29;53;570
"105 Roscommon Rural";3528;210;102;228;4068
"106 Roscommon Urban";1380;59;32;166;1637
"107 Rosmoylan";149;0;3;1;153
"108 Rossmore";147;1;1;0;149
"109 Scregg";364;15;6;7;392
"110 Strokestown";885;29;20;34;968
"111 Termonbarry";419;11;49;12;491
"112 Tulsk";251;2;8;1;262
"Sligo County";53160;2903;1458;1584;59105
"001 Sligo East";4481;261;135;256;5133
"002 Sligo North";4047;528;256;293;5124
"003 Sligo West";5959;468;242;282;6951
"004 Aghanagh";275;8;13;9;305
"005 Ballynashee";243;17;4;1;265
"006 Coolavin";415;1;10;8;434
"007 Cuilmore";453;14;4;12;483
"008 Drumrat";397;22;5;8;432
"009 Kilfree";417;14;15;19;465
"010 Killadoon";272;5;5;4;286
"011 Killaraght";362;3;8;6;379
"012 Kilmactranny";309;8;5;8;330
"013 Kilshalvy";269;6;5;6;286
"014 Shancough";132;5;0;1;138
"015 Templevanny";216;15;3;3;237
"016 Toomour";221;1;5;10;237
"017 Aughris";158;6;2;6;172
"018 Buncrowey";311;8;5;3;327
"019 Castleconor East";224;2;2;0;228
"020 Castleconor West";809;13;15;34;871
"021 Dromard East";150;3;2;1;156
"022 Dromard West";163;7;1;2;173
"023 Dromore";406;11;7;4;428
"024 Easky East";524;19;14;18;575
"025 Easky West";632;17;14;9;672
"026 Kilglass";1160;76;48;25;1309
"028 Rathmacurkey";519;5;12;5;541
"029 Skreen";147;6;3;4;160
"030 Templeboy North";277;1;1;1;280
"031/027 Templeboy South/Mullagheruse";223;3;4;0;230
"032 Toberpatrick East";227;15;4;7;253
"033 Toberpatrick West";277;10;2;1;290
"034 Ballintogher East";502;19;10;1;532
"035 Ballintogher West";383;16;5;9;413
"036 Ballymote";1496;106;32;49;1683
"037 Ballynakill";342;15;2;4;363
"038 Ballysadare East";1040;87;21;33;1181
"039 Ballysadare West";303;16;5;3;327
"040 Bricklieve";228;4;0;2;234
"041 Calry";1701;46;25;13;1785
"042 Carney";648;11;7;4;670
"043 Carrickbanagher";567;10;3;4;584
"044 Cliffony North";792;38;35;9;874
"045 Cliffony South";555;28;8;7;598
"046 Collooney";1431;146;56;73;1706
"047 Drumcliff East";720;16;16;9;761
"048 Drumcliff West";1688;56;35;25;1804
"049 Drumcolumb";279;3;7;1;290
"050 Drumfin";310;13;6;3;332
"051 Glencar";201;4;3;4;212
"052 Kilmacowen";1885;49;34;35;2003
"053 Knockaree";2804;173;97;64;3138
"054 Lakeview";346;13;19;5;383
"055 Lisconny";370;19;2;2;393
"056 Lissadill East";558;34;10;11;613
"057 Lissadill North";1008;51;19;22;1100
"058 Lissadill West";448;6;2;6;462
"059 Riverstown";571;24;9;15;619
"060 Rossinver East";159;4;0;0;163
"061 Rossinver West";209;18;1;0;228
"062 Achonry East";482;10;5;12;509
"063 Achonry West";604;10;28;19;661
"064 Aclare";277;6;3;8;294
"065 Annagh";162;12;6;0;180
"066 Banada";544;13;10;5;572
"067/069 Branchfield/Carrownaskeagh";139;2;0;3;144
"068 Breencorragh";121;3;0;1;125
"070 Cartron";169;1;3;3;176
"072 Cloonoghill";287;14;3;1;305
"073 Coolaney";469;52;11;1;533
"074 Glendarragh";147;8;1;4;160
"075 Kilmacteige";227;1;2;2;232
"076 Kilturra";225;2;4;3;234
"077 Leitrim";302;11;4;4;321
"078/071 Loughill/Cloonacool";304;11;7;1;323
"079 Owenmore";95;2;3;1;101
"080 Streamstown";279;7;3;3;292
"081 Temple";215;2;1;2;220
"082 Tobercurry";1893;133;44;52;2122
"Ulster (part of)";238486;10222;4048;6640;259396
"Cavan County";56083;2585;1996;1686;62350
"001 Cavan Urban";3160;257;149;257;3823
"002 Bailieborough";2830;141;113;52;3136
"003 Carnagarve";527;14;30;4;575
"004 Crossbane";451;14;16;4;485
"005 Drumanespick";382;19;9;0;410
"006 Enniskeen";370;8;6;0;384
"007 Killinkere";344;12;4;0;360
"008 Kingscourt";2171;83;78;139;2471
"009 Lisagoan";309;7;6;0;322
"010 Mullagh";1187;18;110;33;1348
"011 Shercock";934;34;17;24;1009
"012 Skeagh";365;10;8;2;385
"013 Taghart";515;9;17;11;552
"014 Termon";433;7;20;3;463
"015 Ballyconnell";1004;59;26;103;1192
"016 Ballymagauran";239;5;2;1;247
"017 Bawnboy";509;5;10;5;529
"019 Bilberry";137;6;2;0;145
"020 Carn";211;7;5;1;224
"021 Diamond";100;6;3;0;109
"022 Doogary";129;6;3;7;145
"023 Kinawley";112;0;2;1;115
"024 Lissanover";257;6;4;2;269
"025/028 Pedara Vohers/Tircahan";180;0;4;1;185
"026 Swanlinbar";386;15;4;24;429
"027/018 Templeport/Benbrack";360;9;5;2;376
"029 Ballyjamesduff";1704;119;187;140;2150
"030 Castlerahan";764;21;49;24;858
"031 Kilbride";774;37;36;21;868
"032 Lurgan";455;37;16;5;513
"033 Munterconnaught";852;24;61;6;943
"034 Virginia";2648;156;215;87;3106
"035 Ardue";529;22;7;32;590
"036 Arvagh";799;26;29;18;872
"037 Ashfield";297;12;13;7;329
"038 Ballintemple";430;14;4;4;452
"039 Ballyhaise";888;40;12;20;960
"040 Ballymachugh";656;21;9;8;694
"041 Bellananagh";1097;72;26;14;1209
"042 Belturbet Urban";1207;72;32;48;1359
"043 Bruce Hall";197;4;3;2;206
"044 Butler's Bridge";344;15;3;4;366
"045 Canningstown";511;19;12;5;547
"046 Carrafin";327;19;8;2;356
"047 Castlesaunderson";218;2;0;0;220
"048 Cavan Rural";3835;447;223;215;4720
"049 Clonervy";723;34;17;7;781
"050 Cootehill Rural";988;81;33;43;1145
"051 Cootehill Urban";1119;44;20;35;1218
"052 Corr";244;6;1;2;253
"053 Corraneary";361;10;16;10;397
"054 Crossdoney";496;19;7;4;526
"055 Crosskeys";602;12;15;4;633
"056 Cuttragh";325;11;1;2;339
"057 Denn";636;20;5;12;673
"058 Derrin";347;10;16;5;378
"059 Drumcarban";509;18;7;3;537
"060 Drumcarn";484;21;5;0;510
"061 Drung";514;9;6;7;536
"062 Graddum";452;3;8;4;467
"063 Grilly";345;20;7;12;384
"064 Kilconny";342;10;8;9;369
"065 Kill";332;9;3;2;346
"066 Killashandra";1026;10;10;20;1066
"067 Killykeen";488;11;19;9;527
"068 Kilnaleck";825;34;38;40;937
"069 Knappagh";402;3;9;2;416
"070 Larah North";420;8;11;1;440
"071 Larah South";450;12;1;2;465
"072 Milltown";312;9;5;0;326
"073 Moynehall";1359;56;16;41;1472
"074 Rakenny";391;10;3;3;407
"075 Redhill";391;7;8;7;413
"076 Springfield";163;3;5;1;172
"077 Stradone";677;16;10;7;710
"078 Tullyvin East";346;11;7;4;368
"079 Tullyvin West";219;2;3;0;224
"080 Waterloo";635;16;12;4;667
"081 Derrylahan";118;0;1;0;119
"083 Dowra";125;0;3;0;128
"084/082 Dunmakeever/Derrynananta";164;2;0;1;167
"085 Eskey";198;47;19;7;271
"086/087 Kinninagh/Teebane";139;5;0;12;156
"088 Tuam";323;12;4;4;343
"089 Drumlumman";489;8;7;5;509
"090 Kilcogy";349;6;1;5;361
"091 Kilgolagh";296;6;12;0;314
"092 Loughdawan";308;5;0;8;321
"093 Scrabby";517;13;19;4;553
"Donegal County";132016;5684;1347;3441;142488
"001 Buncrana Urban";3001;124;18;142;3285
"002 Bundoran Urban";1392;44;33;87;1556
"003 Letterkenny Urban";1472;177;59;104;1812
"004 Ballintra";661;9;2;2;674
"005 Ballyshannon Rural";1406;72;23;22;1523
"006 Ballyshannon Urban";1790;92;23;42;1947
"007 Bundoran Rural";786;21;12;34;853
"008 Carrickboy";415;13;7;4;439
"009 Cavangarden";306;5;6;2;319
"010 Cliff";193;3;3;9;208
"011 Ballintra";531;8;2;7;548
"012 An Bhinn Bhán";164;2;0;2;168
"013 Bonnyglen";320;12;1;7;340
"014 Clogher";693;20;7;6;726
"015 Corkermore";259;10;4;3;276
"016 Donegal";3266;153;51;121;3591
"017 Dunkineely";773;55;7;15;850
"018 Eanymore";481;16;6;6;509
"019 Grousehall";73;4;0;0;77
"020 Haugh";222;3;2;2;229
"021 Inver";693;21;9;7;730
"022 Laghy";647;17;4;13;681
"023 Loch Iascaigh";105;4;0;4;113
"024 Pettigoe";395;10;2;8;415
"025 Tantallon";1435;31;12;31;1509
"026 Tawnawully";244;3;0;3;250
"027 Templecarn";118;2;0;0;120
"028 Tullynaught";465;8;3;7;483
"029 Ards";586;33;6;15;640
"030 Críoch na Sméar";258;4;2;0;264
"031 An Craoslach";621;30;17;7;675
"032 Na Croisbhealaí";2019;57;19;37;2132
"033 Caisleán na dTuath";204;4;5;0;213
"034 Dún Fionnachaidh";762;23;6;16;807
"035 Dún Lúiche";659;9;5;13;686
"036 Gort an Choirce";1473;50;7;23;1553
"037 Machaire Chlochair";2420;73;29;58;2580
"038 Mín an Chladaigh";1243;30;11;17;1301
"039 Anagaire";2070;69;16;34;2189
"040 Árainn Mhór";493;7;7;13;520
"041 Ard an Rátha";933;63;7;18;1021
"042 Cró Bheithe";154;1;0;4;159
"043 Cró Chaorach";113;4;3;0;120
"044 Crownarad";322;3;8;0;333
"045 Dawros";605;7;4;2;618
"046 An Dúchoraidh";81;1;0;3;85
"047 An Clochán Liath";1719;92;17;27;1855
"048 Baile na Finne";302;9;1;2;314
"049 Gleann Cholm Cille";665;21;16;5;707
"050 Gleann Gheis";642;14;2;4;662
"051 Gleann Léithín";177;3;0;1;181
"052 Na Gleannta";1282;98;12;26;1418
"053 An Ghrafaidh";194;3;3;4;204
"054 Inis Caoil";97;4;0;0;101
"055 Cill Charthaigh";619;20;2;1;642
"056 Cill Ghabhlaigh";376;5;1;0;382
"057 Killybegs";2100;125;13;27;2265
"058 An Leargaidh Mhór";535;8;3;5;551
"059 Leitir Mhic an Bhaird";625;6;5;24;660
"060 Maas";286;7;3;4;300
"061 An Machaire";646;30;5;10;691
"062 Málainn Bhig";359;13;4;5;381
"063 Maol Mosóg";195;8;6;8;217
"064 Inis Mhic an Doirn";1332;31;9;25;1397
"065 Tieveskeelta";98;2;0;0;100
"066 Ardmalin";650;12;4;18;684
"067 Ballyliffin";1193;16;10;25;1244
"068 Birdstown";921;19;4;44;988
"069 Buncrana Rural";2577;150;14;105;2846
"070 Burt";1141;22;3;48;1214
"071 Carndonagh";1703;106;8;47;1864
"072 Carthage";955;8;0;4;967
"073 Castlecary";595;22;3;19;639
"074 Castleforward";795;31;0;61;887
"075 Culdaff";825;22;5;11;863
"076 Desertegny";625;15;1;10;651
"077 Dunaff";611;23;2;8;644
"078 Fahan";1287;44;5;68;1404
"079 Glennagannon";612;14;7;14;647
"080 Gleneely";709;9;1;11;730
"081 Glentogher";1020;44;1;33;1098
"082 Greencastle";707;27;3;16;753
"083 Illies";724;23;6;17;770
"084 Inch Island";407;7;2;6;422
"085 Kilderry";1470;41;5;133;1649
"086 Killea";1355;26;2;84;1467
"087 Malin";581;12;0;9;602
"088 Mintiaghs";751;17;2;7;777
"089 Moville";2003;39;13;30;2085
"090 Newtown Cunningham";1093;25;4;23;1145
"091 Redcastle";675;16;3;46;740
"092 Straid";1235;28;15;27;1305
"093 Three Trees";574;15;0;31;620
"094 Turmone";287;3;1;0;291
"095 Whitecastle";745;32;10;54;841
"096 Ballymacool";1321;154;41;44;1560
"097 Castlewray";2978;165;52;53;3248
"098 Mín an Lábáin";263;1;1;8;273
"099 Corravaddy";1009;67;10;14;1100
"100 Edenacarnan";733;35;4;15;787
"101 Gartán";172;4;0;0;176
"102 Gortnavern";901;58;18;16;993
"103 Killymasny";384;8;5;5;402
"104 Kincraigy";832;26;1;3;862
"105 Letterkenny Rural";8843;942;277;412;10474
"106 Magheraboy";1484;38;4;12;1538
"107 Manorcunningham";782;19;4;13;818
"108 Suí Corr";94;1;0;0;95
"109 Templedouglas";736;48;5;8;797
"110 Ballyarr";411;32;0;6;449
"111 Carraig Airt";845;21;9;19;894
"112 An Cheathrú Chaol";799;23;1;10;833
"113 Creamhghort";554;12;6;1;573
"114 Fánaid Thuaidh";509;14;0;7;530
"115 Fánaid Thiar";439;4;2;3;448
"116 Glen";234;5;1;5;245
"117 Glenalla";352;21;2;5;380
"118 Grianfort";308;3;4;3;318
"119 Killygarvan";87;0;1;0;88
"120 Kilmacrenan";1079;68;5;21;1173
"121 Cnoc Colbha";223;4;1;1;229
"122 Loch Caol";259;6;3;0;268
"123 Millford";1300;62;13;20;1395
"124 Rathmelton";1888;117;17;44;2066
"125 Rathmullan";763;22;1;19;805
"126 Ros Goill";729;34;9;30;802
"127 Rosnakill";233;10;0;0;243
"128 An Tearmann";396;18;7;13;434
"129 Allt na Péiste";378;4;1;1;384
"130 Castlefinn";1237;41;6;22;1306
"131 An Clochán";805;15;1;12;833
"132 Cloghard";623;10;8;17;658
"133 Clonleigh North";1243;38;10;21;1312
"134 Clonleigh South";1869;67;13;50;1999
"135 Convoy";2037;76;11;31;2155
"136 Dooish";877;63;13;39;992
"137 Feddyglass";374;9;3;3;389
"138 Figart";772;43;6;23;844
"139 Gleneely";1289;39;11;18;1357
"140 Goland";297;20;1;3;321
"141 Killygordon";931;42;6;18;997
"142 Knock";1296;90;20;45;1451
"143 Lettermore";353;4;1;4;362
"144 Mín Charraigeach";84;3;3;0;90
"145 Raphoe";1349;62;11;19;1441
"146 St. Johnstown";1120;46;6;26;1198
"147 Stranorlar";3681;167;22;133;4003
"148 Treantaghmucklagh";592;19;5;4;620
"149 Urney West";472;10;1;5;488
"Monaghan County";50387;1953;705;1513;54558
"001 Carrickmacross Urban";1687;75;36;107;1905
"002 Castleblayney Urban";814;13;15;45;887
"003 Clones Urban";897;11;9;36;953
"004 Monaghan Urban";1731;138;39;190;2098
"005 Ballymackney";855;16;21;7;899
"006 Bocks";555;12;12;11;590
"007 Carrickmacross Rural";2625;216;49;118;3008
"008 Corracharra";256;0;3;3;262
"009 Crossalare";500;25;23;9;557
"010 Donaghmoyne";627;5;0;4;636
"011 Drumboory";415;12;16;9;452
"012 Drumcarrow";339;10;8;3;360
"013 Drumgurra";485;21;30;5;541
"014 Enagh";631;39;10;12;692
"015 Inishkeen";915;9;31;6;961
"016 Kilmurry";497;17;9;6;529
"017 Kiltybegs";543;6;7;5;561
"018 Loughfea";526;10;8;11;555
"019 Raferagh";430;8;11;3;452
"020 Annayalla";551;10;1;11;573
"021 Ballybay Rural";1237;46;19;58;1360
"022 Ballybay Urban";311;26;7;41;385
"023 Bellatrain";214;4;0;16;234
"024 Broomfield";679;15;2;11;707
"025 Carrickaslane";473;11;3;9;496
"026 Carrickatee";292;6;2;1;301
"027 Castleblayney Rural";2859;157;36;72;3124
"028 Church Hill";537;14;2;8;561
"029 Creeve";532;12;9;2;555
"030 Cremartin";896;39;10;9;954
"031 Greagh";376;11;6;16;409
"032 Laragh";498;5;1;1;505
"033 Mullyash";343;4;4;0;351
"034 Aghabog";280;6;4;7;297
"035 Anny";301;14;2;10;327
"036 Clones Rural";1342;36;11;19;1408
"037 Cormeen";437;8;4;2;451
"038 Currin";508;22;7;14;551
"039 Dawsongrove";622;20;15;3;660
"040 Drum";183;0;0;1;184
"041 Drummully";90;1;0;0;91
"042 Killeevan";338;8;6;3;355
"043 Killynenagh";163;1;1;1;166
"044 Lisnaveane";400;7;2;3;412
"045 Newbliss";672;29;12;5;718
"046 St. Tierney";397;7;0;3;407
"047 Anketell Grove";937;24;5;20;986
"048 Bellanode";1172;59;21;65;1317
"049 Bragan";275;2;0;5;282
"050 Caddagh";441;3;4;5;453
"051 Castleshane";813;36;7;11;867
"052 Clones";429;9;5;8;451
"053 Clontibret";669;11;2;8;690
"054 Derrygorry";244;15;4;7;270
"055 Drumhillagh";588;16;4;6;614
"056 Drumsnat";862;38;7;17;924
"057 Emyvale";1145;16;8;33;1202
"058 Enagh";438;11;4;16;469
"059 Figullar";382;15;0;9;406
"060 Glaslough";708;19;3;10;740
"061 Killylough";505;17;5;17;544
"062 Kilmore";508;9;2;1;520
"063 Monaghan Rural";4699;368;96;272;5435
"064 Rackwallace";749;15;2;13;779
"065 Scotstown";1006;24;4;20;1054
"066 Shanmullagh";214;5;1;1;221
"067 Sheskin";521;21;3;2;547
"068 Tedavnet";808;13;6;14;841
"069 Tehallan";811;31;8;30;880
"070 Tullycorbet";604;14;1;7;626
"State";3667564;233841;88189;121739;4111333
