"Theme 2 - 3 : Usually resident population by ethnic or cultural background, 2006";;;;;;;;
"Ethnic Group";"White Irish";"White Irish Traveller";"Any other White background";"Black or Black Irish";"Asian or Asian Irish";"Other";"Not stated";"Total"
"059 Leitir Mhic an Bhaird";588;0;65;0;0;4;8;665
"060 Maas";283;0;19;0;1;3;0;306
"061 An Machaire";632;0;53;0;7;4;4;700
"062 Málainn Bhig";366;0;14;0;0;2;6;388
"063 Maol Mosóg";204;0;10;0;0;0;5;219
"064 Inis Mhic an Doirn";1276;0;111;0;0;8;13;1408
"065 Tieveskeelta";95;0;5;0;0;1;0;101
"066 Ardmalin";662;0;31;0;0;0;3;696
"067 Ballyliffin";1203;0;54;0;0;7;8;1272
"068 Birdstown";946;0;36;0;7;4;14;1007
"069 Buncrana Rural";2617;1;222;10;13;10;30;2903
"070 Burt";1190;3;10;1;0;8;19;1231
"071 Carndonagh";1755;0;91;2;8;12;31;1899
"072 Carthage";936;0;27;0;0;4;19;986
"073 Castlecary";600;0;35;0;0;3;8;646
"074 Castleforward";846;0;36;1;0;6;10;899
"075 Culdaff";808;1;56;0;0;5;2;872
"076 Desertegny";627;0;25;0;0;6;1;659
"077 Dunaff";612;0;32;0;0;3;4;651
"078 Fahan";1348;0;61;2;1;3;12;1427
"079 Glennagannon";614;0;32;0;0;2;12;660
"080 Gleneely";699;0;34;0;0;3;3;739
"081 Glentogher";1013;0;69;0;10;8;23;1123
"082 Greencastle";739;0;19;0;0;3;7;768
"083 Illies";753;0;22;1;1;4;4;785
"084 Inch Island";386;0;31;0;0;5;4;426
"085 Kilderry";1597;1;57;1;18;11;8;1693
"086 Killea";1403;0;40;0;1;11;33;1488
"087 Malin";588;0;21;0;0;1;3;613
"088 Mintiaghs";764;0;17;0;0;1;6;788
"089 Moville";1998;0;89;0;3;11;13;2114
"090 Newtown Cunningham";1130;0;28;0;0;5;8;1171
"091 Redcastle";709;0;37;0;0;2;5;753
"092 Straid";1268;0;45;3;0;3;8;1327
"093 Three Trees";599;0;18;0;3;2;8;630
"094 Turmone";285;0;8;0;0;1;3;297
"095 Whitecastle";817;0;28;1;0;6;6;858
"096 Ballymacool";1392;25;95;65;9;9;1;1596
"097 Castlewray";3057;4;136;28;29;23;26;3303
"098 Mín an Lábáin";248;0;26;0;0;2;1;277
"099 Corravaddy";997;8;62;7;21;12;17;1124
"100 Edenacarnan";752;0;39;2;1;3;6;803
"101 Gartán";165;0;13;0;0;2;0;180
"102 Gortnavern";930;0;32;4;16;10;17;1009
"103 Killymasny";398;0;12;0;0;3;0;413
"104 Kincraigy";836;1;22;0;0;1;13;873
"105 Letterkenny Rural";8879;113;741;367;313;186;98;10697
"106 Magheraboy";1494;20;38;0;2;2;3;1559
"107 Manorcunningham";795;3;21;0;0;4;10;833
"108 Suí Corr";84;0;8;0;0;0;3;95
"109 Templedouglas";779;0;22;0;1;4;7;813
"110 Ballyarr";421;6;25;0;1;2;0;455
"111 Carraig Airt";856;0;43;0;0;5;2;906
"112 An Cheathrú Chaol";792;0;42;1;3;5;5;848
"113 Creamhghort";572;0;6;0;0;1;5;584
"114 Fánaid Thuaidh";507;0;26;0;2;0;0;535
"115 Fánaid Thiar";437;0;16;0;0;1;0;454
"116 Glen";223;0;20;0;0;3;2;248
"117 Glenalla";372;0;9;0;0;4;0;385
"118 Grianfort";308;0;15;0;0;0;1;324
"119 Killygarvan";74;0;13;0;0;0;1;88
"120 Kilmacrenan";1109;14;47;2;8;6;16;1202
"121 Cnoc Colbha";216;0;14;0;0;0;0;230
"122 Loch Caol";254;1;17;0;0;0;0;272
"123 Millford";1335;12;56;1;1;11;1;1417
"124 Rathmelton";1929;7;134;3;3;15;1;2092
"125 Rathmullan";741;0;52;0;3;7;11;814
"126 Ros Goill";745;0;53;0;0;4;13;815
"127 Rosnakill";239;0;6;0;0;1;1;247
"128 An Tearmann";415;0;19;0;0;6;0;440
"129 Allt na Péiste";369;0;12;0;0;0;7;388
"130 Castlefinn";1259;1;40;1;5;4;13;1323
"131 An Clochán";814;0;26;1;0;0;9;850
"132 Cloghard";650;0;9;0;0;4;2;665
"133 Clonleigh North";1295;0;27;0;2;3;1;1328
"134 Clonleigh South";1946;5;45;0;13;13;7;2029
"135 Convoy";2042;1;76;1;2;12;46;2180
"136 Dooish";938;3;55;5;5;7;5;1018
"137 Feddyglass";381;0;10;0;0;0;1;392
"138 Figart";804;0;36;0;0;10;6;856
"139 Gleneely";1329;0;38;0;0;1;14;1382
"140 Goland";309;0;13;0;0;0;4;326
"141 Killygordon";978;0;29;1;0;4;0;1012
"142 Knock";1378;0;88;1;0;8;8;1483
"143 Lettermore";347;0;18;1;0;0;0;366
"144 Mín Charraigeach";90;0;0;0;0;0;0;90
"145 Raphoe";1383;2;44;3;6;6;14;1458
"146 St. Johnstown";1170;0;25;0;0;9;14;1218
"147 Stranorlar";3637;7;249;13;59;46;30;4041
"148 Treantaghmucklagh";601;0;20;0;0;5;9;635
"149 Urney West";483;0;9;0;0;0;4;496
"Monaghan County";49600;201;4027;151;258;423;702;55362
"001 Carrickmacross Urban";1503;1;321;7;21;43;38;1934
"002 Castleblayney Urban";717;0;133;1;14;20;21;906
"003 Clones Urban";784;10;125;3;11;19;18;970
"004 Monaghan Urban";1401;13;544;13;46;52;53;2122
"005 Ballymackney";864;1;26;1;0;2;24;918
"006 Bocks";565;0;31;0;0;1;1;598
"007 Carrickmacross Rural";2579;0;332;4;26;72;55;3068
"008 Corracharra";237;0;10;1;2;1;14;265
"009 Crossalare";544;0;12;0;0;2;8;566
"010 Donaghmoyne";631;0;4;0;0;2;4;641
"011 Drumboory";425;0;29;0;0;2;6;462
"012 Drumcarrow";341;0;26;0;0;0;3;370
"013 Drumgurra";518;0;18;0;0;8;6;550
"014 Enagh";665;0;29;2;0;1;3;700
"015 Inishkeen";944;0;11;1;0;7;13;976
"016 Kilmurry";516;0;15;0;0;0;1;532
"017 Kiltybegs";562;0;0;2;0;2;4;570
"018 Loughfea";530;0;23;0;0;3;9;565
"019 Raferagh";441;0;10;0;0;0;5;456
"020 Annayalla";549;0;29;0;0;3;1;582
"021 Ballybay Rural";1182;2;152;3;3;17;12;1371
"022 Ballybay Urban";286;0;85;5;5;4;3;388
"023 Bellatrain";217;0;23;0;0;0;0;240
"024 Broomfield";688;0;17;0;0;2;10;717
"025 Carrickaslane";486;1;5;1;0;2;6;501
"026 Carrickatee";306;0;0;0;0;0;1;307
"027 Castleblayney Rural";2913;15;178;8;26;14;18;3172
"028 Church Hill";545;1;13;0;7;0;2;568
"029 Creeve";531;0;21;0;0;1;9;562
"030 Cremartin";929;0;23;1;1;1;10;965
"031 Greagh";397;0;14;0;0;0;1;412
"032 Laragh";492;0;11;0;10;0;2;515
"033 Mullyash";338;0;12;0;0;0;3;353
"034 Aghabog";294;0;8;0;0;0;1;303
"035 Anny";310;0;19;0;0;0;2;331
"036 Clones Rural";1359;0;41;0;3;4;13;1420
"037 Cormeen";438;0;10;0;0;0;8;456
"038 Currin";530;0;14;3;0;0;8;555
"039 Dawsongrove";631;0;31;0;0;0;9;671
"040 Drum";177;0;11;0;0;0;2;190
"041 Drummully";86;0;4;0;0;0;2;92
"042 Killeevan";350;0;10;0;0;0;2;362
"043 Killynenagh";157;0;5;0;0;0;6;168
"044 Lisnaveane";404;0;9;0;0;4;1;418
"045 Newbliss";697;0;29;0;0;2;2;730
"046 St. Tierney";395;0;16;0;0;0;2;413
"047 Anketell Grove";929;2;43;0;1;8;23;1006
"048 Bellanode";1172;1;68;57;4;14;28;1344
"049 Bragan";265;0;19;0;0;0;3;287
"050 Caddagh";433;0;20;0;0;4;6;463
"051 Castleshane";849;0;14;0;6;3;3;875
"052 Clones";432;0;10;0;0;1;13;456
"053 Clontibret";681;0;18;0;0;0;0;699
"054 Derrygorry";248;0;18;0;0;5;0;271
"055 Drumhillagh";588;0;15;0;0;6;13;622
"056 Drumsnat";865;4;49;1;1;3;9;932
"057 Emyvale";1018;0;165;0;1;6;27;1217
"058 Enagh";431;0;28;0;0;1;15;475
"059 Figullar";390;0;21;0;0;4;1;416
"060 Glaslough";674;0;46;0;2;12;17;751
"061 Killylough";538;0;5;0;0;1;7;551
"062 Kilmore";516;0;5;2;0;0;0;523
"063 Monaghan Rural";4313;149;845;34;53;51;70;5515
"064 Rackwallace";747;0;34;0;0;5;6;792
"065 Scotstown";1038;0;25;0;5;1;5;1074
"066 Shanmullagh";214;0;6;0;0;0;3;223
"067 Sheskin";542;0;5;0;0;0;4;551
"068 Tedavnet";807;0;24;0;0;2;21;854
"069 Tehallan";834;0;45;0;10;5;5;899
"070 Tullycorbet";622;1;10;1;0;0;1;635
"State";3645199;22369;289041;44318;52345;46438;72303;4172013
